member_name,strategy_type,priority,query,url
内村　忠久,direct_search,high,"""内村　忠久"" 市議 -RT",https://x.com/search?q=%22%E5%86%85%E6%9D%91%E3%80%80%E5%BF%A0%E4%B9%85%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
内村　忠久,direct_search,high,"""内村　忠久"" 入間市 議員",https://x.com/search?q=%22%E5%86%85%E6%9D%91%E3%80%80%E5%BF%A0%E4%B9%85%22%20%E5%85%A5%E9%96%93%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
内村　忠久,direct_search,high,内村忠久 プロフィール 市議,https://x.com/search?q=%E5%86%85%E6%9D%91%E5%BF%A0%E4%B9%85%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
内村　忠久,party_search,medium,自由民主党入間市議団 入間市 内村,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E5%85%A5%E9%96%93%E5%B8%82%20%E5%86%85%E6%9D%91&f=user
内村　忠久,party_search,medium,"""自由民主党入間市議団"" メンバー 内村　忠久",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%86%85%E6%9D%91%E3%80%80%E5%BF%A0%E4%B9%85&f=user
内村　忠久,election_search,low,内村　忠久 当選 入間市,https://x.com/search?q=%E5%86%85%E6%9D%91%E3%80%80%E5%BF%A0%E4%B9%85%20%E5%BD%93%E9%81%B8%20%E5%85%A5%E9%96%93%E5%B8%82&f=user
内村　忠久,election_search,low,#入間市選挙 内村　忠久,https://x.com/search?q=%23%E5%85%A5%E9%96%93%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%86%85%E6%9D%91%E3%80%80%E5%BF%A0%E4%B9%85&f=user
内村　忠久,election_search,low,内村　忠久 選挙ポスター,https://x.com/search?q=%E5%86%85%E6%9D%91%E3%80%80%E5%BF%A0%E4%B9%85%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
大野　勉,direct_search,high,"""大野　勉"" 市議 -RT",https://x.com/search?q=%22%E5%A4%A7%E9%87%8E%E3%80%80%E5%8B%89%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
大野　勉,direct_search,high,"""大野　勉"" 入間市 議員",https://x.com/search?q=%22%E5%A4%A7%E9%87%8E%E3%80%80%E5%8B%89%22%20%E5%85%A5%E9%96%93%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
大野　勉,direct_search,high,大野勉 プロフィール 市議,https://x.com/search?q=%E5%A4%A7%E9%87%8E%E5%8B%89%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
大野　勉,party_search,medium,自由民主党入間市議団 入間市 大野,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E5%85%A5%E9%96%93%E5%B8%82%20%E5%A4%A7%E9%87%8E&f=user
大野　勉,party_search,medium,"""自由民主党入間市議団"" メンバー 大野　勉",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%A4%A7%E9%87%8E%E3%80%80%E5%8B%89&f=user
大野　勉,election_search,low,大野　勉 当選 入間市,https://x.com/search?q=%E5%A4%A7%E9%87%8E%E3%80%80%E5%8B%89%20%E5%BD%93%E9%81%B8%20%E5%85%A5%E9%96%93%E5%B8%82&f=user
大野　勉,election_search,low,#入間市選挙 大野　勉,https://x.com/search?q=%23%E5%85%A5%E9%96%93%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%A4%A7%E9%87%8E%E3%80%80%E5%8B%89&f=user
大野　勉,election_search,low,大野　勉 選挙ポスター,https://x.com/search?q=%E5%A4%A7%E9%87%8E%E3%80%80%E5%8B%89%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
栗山　英美,direct_search,high,"""栗山　英美"" 市議 -RT",https://x.com/search?q=%22%E6%A0%97%E5%B1%B1%E3%80%80%E8%8B%B1%E7%BE%8E%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
栗山　英美,direct_search,high,"""栗山　英美"" 入間市 議員",https://x.com/search?q=%22%E6%A0%97%E5%B1%B1%E3%80%80%E8%8B%B1%E7%BE%8E%22%20%E5%85%A5%E9%96%93%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
栗山　英美,direct_search,high,栗山英美 プロフィール 市議,https://x.com/search?q=%E6%A0%97%E5%B1%B1%E8%8B%B1%E7%BE%8E%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
栗山　英美,party_search,medium,公明党入間市議団 入間市 栗山,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E5%85%A5%E9%96%93%E5%B8%82%20%E6%A0%97%E5%B1%B1&f=user
栗山　英美,party_search,medium,"""公明党入間市議団"" メンバー 栗山　英美",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%A0%97%E5%B1%B1%E3%80%80%E8%8B%B1%E7%BE%8E&f=user
栗山　英美,election_search,low,栗山　英美 当選 入間市,https://x.com/search?q=%E6%A0%97%E5%B1%B1%E3%80%80%E8%8B%B1%E7%BE%8E%20%E5%BD%93%E9%81%B8%20%E5%85%A5%E9%96%93%E5%B8%82&f=user
栗山　英美,election_search,low,#入間市選挙 栗山　英美,https://x.com/search?q=%23%E5%85%A5%E9%96%93%E5%B8%82%E9%81%B8%E6%8C%99%20%E6%A0%97%E5%B1%B1%E3%80%80%E8%8B%B1%E7%BE%8E&f=user
栗山　英美,election_search,low,栗山　英美 選挙ポスター,https://x.com/search?q=%E6%A0%97%E5%B1%B1%E3%80%80%E8%8B%B1%E7%BE%8E%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
小島　清人,direct_search,high,"""小島　清人"" 市議 -RT",https://x.com/search?q=%22%E5%B0%8F%E5%B3%B6%E3%80%80%E6%B8%85%E4%BA%BA%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
小島　清人,direct_search,high,"""小島　清人"" 入間市 議員",https://x.com/search?q=%22%E5%B0%8F%E5%B3%B6%E3%80%80%E6%B8%85%E4%BA%BA%22%20%E5%85%A5%E9%96%93%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
小島　清人,direct_search,high,小島清人 プロフィール 市議,https://x.com/search?q=%E5%B0%8F%E5%B3%B6%E6%B8%85%E4%BA%BA%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
小島　清人,party_search,medium,自由民主党入間市議団 入間市 小島,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E5%85%A5%E9%96%93%E5%B8%82%20%E5%B0%8F%E5%B3%B6&f=user
小島　清人,party_search,medium,"""自由民主党入間市議団"" メンバー 小島　清人",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%85%A5%E9%96%93%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%B0%8F%E5%B3%B6%E3%80%80%E6%B8%85%E4%BA%BA&f=user
小島　清人,election_search,low,小島　清人 当選 入間市,https://x.com/search?q=%E5%B0%8F%E5%B3%B6%E3%80%80%E6%B8%85%E4%BA%BA%20%E5%BD%93%E9%81%B8%20%E5%85%A5%E9%96%93%E5%B8%82&f=user
