member_name,strategy_type,priority,query,url
内田　由香利,direct_search,high,"""内田　由香利"" 市議 -RT",https://x.com/search?q=%22%E5%86%85%E7%94%B0%E3%80%80%E7%94%B1%E9%A6%99%E5%88%A9%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
内田　由香利,direct_search,high,"""内田　由香利"" 八王子市 議員",https://x.com/search?q=%22%E5%86%85%E7%94%B0%E3%80%80%E7%94%B1%E9%A6%99%E5%88%A9%22%20%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
内田　由香利,direct_search,high,内田由香利 プロフィール 市議,https://x.com/search?q=%E5%86%85%E7%94%B0%E7%94%B1%E9%A6%99%E5%88%A9%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
内田　由香利,party_search,medium,自民党新政会 八王子市 内田,https://x.com/search?q=%E8%87%AA%E6%B0%91%E5%85%9A%E6%96%B0%E6%94%BF%E4%BC%9A%20%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%20%E5%86%85%E7%94%B0&f=user
内田　由香利,party_search,medium,"""自民党新政会"" メンバー 内田　由香利",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E5%85%9A%E6%96%B0%E6%94%BF%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%86%85%E7%94%B0%E3%80%80%E7%94%B1%E9%A6%99%E5%88%A9&f=user
内田　由香利,election_search,low,内田　由香利 当選 八王子市,https://x.com/search?q=%E5%86%85%E7%94%B0%E3%80%80%E7%94%B1%E9%A6%99%E5%88%A9%20%E5%BD%93%E9%81%B8%20%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82&f=user
内田　由香利,election_search,low,#八王子市選挙 内田　由香利,https://x.com/search?q=%23%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%86%85%E7%94%B0%E3%80%80%E7%94%B1%E9%A6%99%E5%88%A9&f=user
内田　由香利,election_search,low,内田　由香利 選挙ポスター,https://x.com/search?q=%E5%86%85%E7%94%B0%E3%80%80%E7%94%B1%E9%A6%99%E5%88%A9%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
立川　寛之,direct_search,high,"""立川　寛之"" 市議 -RT",https://x.com/search?q=%22%E7%AB%8B%E5%B7%9D%E3%80%80%E5%AF%9B%E4%B9%8B%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
立川　寛之,direct_search,high,"""立川　寛之"" 八王子市 議員",https://x.com/search?q=%22%E7%AB%8B%E5%B7%9D%E3%80%80%E5%AF%9B%E4%B9%8B%22%20%E5%85%AB%E7%8E%8B%E5%AD%90%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
立川　寛之,direct_search,high,立川寛之 プロフィール 市議,https://x.com/search?q=%E7%AB%8B%E5%B7%9D%E5%AF%9B%E4%B9%8B%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
