member_name,strategy_type,priority,query,url
浅川　修一,direct_search,high,"""浅川　修一"" 市議 -RT",https://x.com/search?q=%22%E6%B5%85%E5%B7%9D%E3%80%80%E4%BF%AE%E4%B8%80%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
浅川　修一,direct_search,high,"""浅川　修一"" 立川市 議員",https://x.com/search?q=%22%E6%B5%85%E5%B7%9D%E3%80%80%E4%BF%AE%E4%B8%80%22%20%E7%AB%8B%E5%B7%9D%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
浅川　修一,direct_search,high,浅川修一 プロフィール 市議,https://x.com/search?q=%E6%B5%85%E5%B7%9D%E4%BF%AE%E4%B8%80%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
浅川　修一,party_search,medium,日本共産党 立川市 浅川,https://x.com/search?q=%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%20%E7%AB%8B%E5%B7%9D%E5%B8%82%20%E6%B5%85%E5%B7%9D&f=user
浅川　修一,party_search,medium,"""日本共産党"" メンバー 浅川　修一",https://x.com/search?q=%22%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%B5%85%E5%B7%9D%E3%80%80%E4%BF%AE%E4%B8%80&f=user
浅川　修一,election_search,low,浅川　修一 当選 立川市,https://x.com/search?q=%E6%B5%85%E5%B7%9D%E3%80%80%E4%BF%AE%E4%B8%80%20%E5%BD%93%E9%81%B8%20%E7%AB%8B%E5%B7%9D%E5%B8%82&f=user
浅川　修一,election_search,low,#立川市選挙 浅川　修一,https://x.com/search?q=%23%E7%AB%8B%E5%B7%9D%E5%B8%82%E9%81%B8%E6%8C%99%20%E6%B5%85%E5%B7%9D%E3%80%80%E4%BF%AE%E4%B8%80&f=user
浅川　修一,election_search,low,浅川　修一 選挙ポスター,https://x.com/search?q=%E6%B5%85%E5%B7%9D%E3%80%80%E4%BF%AE%E4%B8%80%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
あべ　みさ,direct_search,high,"""あべ　みさ"" 市議 -RT",https://x.com/search?q=%22%E3%81%82%E3%81%B9%E3%80%80%E3%81%BF%E3%81%95%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
あべ　みさ,direct_search,high,"""あべ　みさ"" 立川市 議員",https://x.com/search?q=%22%E3%81%82%E3%81%B9%E3%80%80%E3%81%BF%E3%81%95%22%20%E7%AB%8B%E5%B7%9D%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
あべ　みさ,direct_search,high,あべみさ プロフィール 市議,https://x.com/search?q=%E3%81%82%E3%81%B9%E3%81%BF%E3%81%95%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
