member_name,strategy_type,priority,query,url
成田　ちひろ,direct_search,high,"""成田　ちひろ"" 市議 -RT",https://x.com/search?q=%22%E6%88%90%E7%94%B0%E3%80%80%E3%81%A1%E3%81%B2%E3%82%8D%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
成田　ちひろ,direct_search,high,"""成田　ちひろ"" 三鷹市 議員",https://x.com/search?q=%22%E6%88%90%E7%94%B0%E3%80%80%E3%81%A1%E3%81%B2%E3%82%8D%22%20%E4%B8%89%E9%B7%B9%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
成田　ちひろ,direct_search,high,成田ちひろ プロフィール 市議,https://x.com/search?q=%E6%88%90%E7%94%B0%E3%81%A1%E3%81%B2%E3%82%8D%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
成田　ちひろ,party_search,medium,未確認 三鷹市 成田,https://x.com/search?q=%E6%9C%AA%E7%A2%BA%E8%AA%8D%20%E4%B8%89%E9%B7%B9%E5%B8%82%20%E6%88%90%E7%94%B0&f=user
成田　ちひろ,party_search,medium,"""未確認"" メンバー 成田　ちひろ",https://x.com/search?q=%22%E6%9C%AA%E7%A2%BA%E8%AA%8D%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%88%90%E7%94%B0%E3%80%80%E3%81%A1%E3%81%B2%E3%82%8D&f=user
成田　ちひろ,election_search,low,成田　ちひろ 当選 三鷹市,https://x.com/search?q=%E6%88%90%E7%94%B0%E3%80%80%E3%81%A1%E3%81%B2%E3%82%8D%20%E5%BD%93%E9%81%B8%20%E4%B8%89%E9%B7%B9%E5%B8%82&f=user
成田　ちひろ,election_search,low,#三鷹市選挙 成田　ちひろ,https://x.com/search?q=%23%E4%B8%89%E9%B7%B9%E5%B8%82%E9%81%B8%E6%8C%99%20%E6%88%90%E7%94%B0%E3%80%80%E3%81%A1%E3%81%B2%E3%82%8D&f=user
成田　ちひろ,election_search,low,成田　ちひろ 選挙ポスター,https://x.com/search?q=%E6%88%90%E7%94%B0%E3%80%80%E3%81%A1%E3%81%B2%E3%82%8D%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
伊藤　俊明,direct_search,high,"""伊藤　俊明"" 市議 -RT",https://x.com/search?q=%22%E4%BC%8A%E8%97%A4%E3%80%80%E4%BF%8A%E6%98%8E%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
伊藤　俊明,direct_search,high,"""伊藤　俊明"" 三鷹市 議員",https://x.com/search?q=%22%E4%BC%8A%E8%97%A4%E3%80%80%E4%BF%8A%E6%98%8E%22%20%E4%B8%89%E9%B7%B9%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
