member_name,strategy_type,priority,query,url
中野　芳則,direct_search,high,"""中野　芳則"" 市議 -RT",https://x.com/search?q=%22%E4%B8%AD%E9%87%8E%E3%80%80%E8%8A%B3%E5%89%87%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
中野　芳則,direct_search,high,"""中野　芳則"" 青梅市 議員",https://x.com/search?q=%22%E4%B8%AD%E9%87%8E%E3%80%80%E8%8A%B3%E5%89%87%22%20%E9%9D%92%E6%A2%85%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
中野　芳則,direct_search,high,中野芳則 プロフィール 市議,https://x.com/search?q=%E4%B8%AD%E9%87%8E%E8%8A%B3%E5%89%87%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
中野　芳則,party_search,medium,自民クラブ 青梅市 中野,https://x.com/search?q=%E8%87%AA%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%20%E9%9D%92%E6%A2%85%E5%B8%82%20%E4%B8%AD%E9%87%8E&f=user
中野　芳則,party_search,medium,"""自民クラブ"" メンバー 中野　芳則",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%B8%AD%E9%87%8E%E3%80%80%E8%8A%B3%E5%89%87&f=user
中野　芳則,election_search,low,中野　芳則 当選 青梅市,https://x.com/search?q=%E4%B8%AD%E9%87%8E%E3%80%80%E8%8A%B3%E5%89%87%20%E5%BD%93%E9%81%B8%20%E9%9D%92%E6%A2%85%E5%B8%82&f=user
中野　芳則,election_search,low,#青梅市選挙 中野　芳則,https://x.com/search?q=%23%E9%9D%92%E6%A2%85%E5%B8%82%E9%81%B8%E6%8C%99%20%E4%B8%AD%E9%87%8E%E3%80%80%E8%8A%B3%E5%89%87&f=user
中野　芳則,election_search,low,中野　芳則 選挙ポスター,https://x.com/search?q=%E4%B8%AD%E9%87%8E%E3%80%80%E8%8A%B3%E5%89%87%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
山田　紀之,direct_search,high,"""山田　紀之"" 市議 -RT",https://x.com/search?q=%22%E5%B1%B1%E7%94%B0%E3%80%80%E7%B4%80%E4%B9%8B%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
山田　紀之,direct_search,high,"""山田　紀之"" 青梅市 議員",https://x.com/search?q=%22%E5%B1%B1%E7%94%B0%E3%80%80%E7%B4%80%E4%B9%8B%22%20%E9%9D%92%E6%A2%85%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
山田　紀之,direct_search,high,山田紀之 プロフィール 市議,https://x.com/search?q=%E5%B1%B1%E7%94%B0%E7%B4%80%E4%B9%8B%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
山田　紀之,party_search,medium,自民クラブ 青梅市 山田,https://x.com/search?q=%E8%87%AA%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%20%E9%9D%92%E6%A2%85%E5%B8%82%20%E5%B1%B1%E7%94%B0&f=user
山田　紀之,party_search,medium,"""自民クラブ"" メンバー 山田　紀之",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%B1%B1%E7%94%B0%E3%80%80%E7%B4%80%E4%B9%8B&f=user
山田　紀之,election_search,low,山田　紀之 当選 青梅市,https://x.com/search?q=%E5%B1%B1%E7%94%B0%E3%80%80%E7%B4%80%E4%B9%8B%20%E5%BD%93%E9%81%B8%20%E9%9D%92%E6%A2%85%E5%B8%82&f=user
山田　紀之,election_search,low,#青梅市選挙 山田　紀之,https://x.com/search?q=%23%E9%9D%92%E6%A2%85%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%B1%B1%E7%94%B0%E3%80%80%E7%B4%80%E4%B9%8B&f=user
山田　紀之,election_search,low,山田　紀之 選挙ポスター,https://x.com/search?q=%E5%B1%B1%E7%94%B0%E3%80%80%E7%B4%80%E4%B9%8B%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
寺島　和成,direct_search,high,"""寺島　和成"" 市議 -RT",https://x.com/search?q=%22%E5%AF%BA%E5%B3%B6%E3%80%80%E5%92%8C%E6%88%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
寺島　和成,direct_search,high,"""寺島　和成"" 青梅市 議員",https://x.com/search?q=%22%E5%AF%BA%E5%B3%B6%E3%80%80%E5%92%8C%E6%88%90%22%20%E9%9D%92%E6%A2%85%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
寺島　和成,direct_search,high,寺島和成 プロフィール 市議,https://x.com/search?q=%E5%AF%BA%E5%B3%B6%E5%92%8C%E6%88%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
