member_name,strategy_type,priority,query,url
坂本　けんいち,direct_search,high,"""坂本　けんいち"" 市議 -RT",https://x.com/search?q=%22%E5%9D%82%E6%9C%AC%E3%80%80%E3%81%91%E3%82%93%E3%81%84%E3%81%A1%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
坂本　けんいち,direct_search,high,"""坂本　けんいち"" 府中市 議員",https://x.com/search?q=%22%E5%9D%82%E6%9C%AC%E3%80%80%E3%81%91%E3%82%93%E3%81%84%E3%81%A1%22%20%E5%BA%9C%E4%B8%AD%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
坂本　けんいち,direct_search,high,坂本けんいち プロフィール 市議,https://x.com/search?q=%E5%9D%82%E6%9C%AC%E3%81%91%E3%82%93%E3%81%84%E3%81%A1%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
坂本　けんいち,party_search,medium,公明府中 府中市 坂本,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%BA%9C%E4%B8%AD%20%E5%BA%9C%E4%B8%AD%E5%B8%82%20%E5%9D%82%E6%9C%AC&f=user
坂本　けんいち,party_search,medium,"""公明府中"" メンバー 坂本　けんいち",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%BA%9C%E4%B8%AD%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%9D%82%E6%9C%AC%E3%80%80%E3%81%91%E3%82%93%E3%81%84%E3%81%A1&f=user
坂本　けんいち,election_search,low,坂本　けんいち 当選 府中市,https://x.com/search?q=%E5%9D%82%E6%9C%AC%E3%80%80%E3%81%91%E3%82%93%E3%81%84%E3%81%A1%20%E5%BD%93%E9%81%B8%20%E5%BA%9C%E4%B8%AD%E5%B8%82&f=user
坂本　けんいち,election_search,low,#府中市選挙 坂本　けんいち,https://x.com/search?q=%23%E5%BA%9C%E4%B8%AD%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%9D%82%E6%9C%AC%E3%80%80%E3%81%91%E3%82%93%E3%81%84%E3%81%A1&f=user
坂本　けんいち,election_search,low,坂本　けんいち 選挙ポスター,https://x.com/search?q=%E5%9D%82%E6%9C%AC%E3%80%80%E3%81%91%E3%82%93%E3%81%84%E3%81%A1%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
奥村　さち子,direct_search,high,"""奥村　さち子"" 市議 -RT",https://x.com/search?q=%22%E5%A5%A5%E6%9D%91%E3%80%80%E3%81%95%E3%81%A1%E5%AD%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
奥村　さち子,direct_search,high,"""奥村　さち子"" 府中市 議員",https://x.com/search?q=%22%E5%A5%A5%E6%9D%91%E3%80%80%E3%81%95%E3%81%A1%E5%AD%90%22%20%E5%BA%9C%E4%B8%AD%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
奥村　さち子,direct_search,high,奥村さち子 プロフィール 市議,https://x.com/search?q=%E5%A5%A5%E6%9D%91%E3%81%95%E3%81%A1%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
奥村　さち子,party_search,medium,生活者ネットワーク 府中市 奥村,https://x.com/search?q=%E7%94%9F%E6%B4%BB%E8%80%85%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%20%E5%BA%9C%E4%B8%AD%E5%B8%82%20%E5%A5%A5%E6%9D%91&f=user
奥村　さち子,party_search,medium,"""生活者ネットワーク"" メンバー 奥村　さち子",https://x.com/search?q=%22%E7%94%9F%E6%B4%BB%E8%80%85%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%A5%A5%E6%9D%91%E3%80%80%E3%81%95%E3%81%A1%E5%AD%90&f=user
奥村　さち子,election_search,low,奥村　さち子 当選 府中市,https://x.com/search?q=%E5%A5%A5%E6%9D%91%E3%80%80%E3%81%95%E3%81%A1%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E5%BA%9C%E4%B8%AD%E5%B8%82&f=user
奥村　さち子,election_search,low,#府中市選挙 奥村　さち子,https://x.com/search?q=%23%E5%BA%9C%E4%B8%AD%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%A5%A5%E6%9D%91%E3%80%80%E3%81%95%E3%81%A1%E5%AD%90&f=user
奥村　さち子,election_search,low,奥村　さち子 選挙ポスター,https://x.com/search?q=%E5%A5%A5%E6%9D%91%E3%80%80%E3%81%95%E3%81%A1%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
宮田　よしひと,direct_search,high,"""宮田　よしひと"" 市議 -RT",https://x.com/search?q=%22%E5%AE%AE%E7%94%B0%E3%80%80%E3%82%88%E3%81%97%E3%81%B2%E3%81%A8%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
宮田　よしひと,direct_search,high,"""宮田　よしひと"" 府中市 議員",https://x.com/search?q=%22%E5%AE%AE%E7%94%B0%E3%80%80%E3%82%88%E3%81%97%E3%81%B2%E3%81%A8%22%20%E5%BA%9C%E4%B8%AD%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
宮田　よしひと,direct_search,high,宮田よしひと プロフィール 市議,https://x.com/search?q=%E5%AE%AE%E7%94%B0%E3%82%88%E3%81%97%E3%81%B2%E3%81%A8%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
宮田　よしひと,party_search,medium,府中市議会市政会 府中市 宮田,https://x.com/search?q=%E5%BA%9C%E4%B8%AD%E5%B8%82%E8%AD%B0%E4%BC%9A%E5%B8%82%E6%94%BF%E4%BC%9A%20%E5%BA%9C%E4%B8%AD%E5%B8%82%20%E5%AE%AE%E7%94%B0&f=user
宮田　よしひと,party_search,medium,"""府中市議会市政会"" メンバー 宮田　よしひと",https://x.com/search?q=%22%E5%BA%9C%E4%B8%AD%E5%B8%82%E8%AD%B0%E4%BC%9A%E5%B8%82%E6%94%BF%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%AE%AE%E7%94%B0%E3%80%80%E3%82%88%E3%81%97%E3%81%B2%E3%81%A8&f=user
宮田　よしひと,election_search,low,宮田　よしひと 当選 府中市,https://x.com/search?q=%E5%AE%AE%E7%94%B0%E3%80%80%E3%82%88%E3%81%97%E3%81%B2%E3%81%A8%20%E5%BD%93%E9%81%B8%20%E5%BA%9C%E4%B8%AD%E5%B8%82&f=user
