member_name,strategy_type,priority,query,url
小林　市之,direct_search,high,"""小林　市之"" 市議 -RT",https://x.com/search?q=%22%E5%B0%8F%E6%9E%97%E3%80%80%E5%B8%82%E4%B9%8B%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
小林　市之,direct_search,high,"""小林　市之"" 調布市 議員",https://x.com/search?q=%22%E5%B0%8F%E6%9E%97%E3%80%80%E5%B8%82%E4%B9%8B%22%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
小林　市之,direct_search,high,小林市之 プロフィール 市議,https://x.com/search?q=%E5%B0%8F%E6%9E%97%E5%B8%82%E4%B9%8B%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
小林　市之,party_search,medium,公明党 調布市 小林,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%85%9A%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E5%B0%8F%E6%9E%97&f=user
小林　市之,party_search,medium,"""公明党"" メンバー 小林　市之",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%B0%8F%E6%9E%97%E3%80%80%E5%B8%82%E4%B9%8B&f=user
小林　市之,election_search,low,小林　市之 当選 調布市,https://x.com/search?q=%E5%B0%8F%E6%9E%97%E3%80%80%E5%B8%82%E4%B9%8B%20%E5%BD%93%E9%81%B8%20%E8%AA%BF%E5%B8%83%E5%B8%82&f=user
小林　市之,election_search,low,#調布市選挙 小林　市之,https://x.com/search?q=%23%E8%AA%BF%E5%B8%83%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%B0%8F%E6%9E%97%E3%80%80%E5%B8%82%E4%B9%8B&f=user
小林　市之,election_search,low,小林　市之 選挙ポスター,https://x.com/search?q=%E5%B0%8F%E6%9E%97%E3%80%80%E5%B8%82%E4%B9%8B%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
丸田　絵美,direct_search,high,"""丸田　絵美"" 市議 -RT",https://x.com/search?q=%22%E4%B8%B8%E7%94%B0%E3%80%80%E7%B5%B5%E7%BE%8E%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
丸田　絵美,direct_search,high,"""丸田　絵美"" 調布市 議員",https://x.com/search?q=%22%E4%B8%B8%E7%94%B0%E3%80%80%E7%B5%B5%E7%BE%8E%22%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
丸田　絵美,direct_search,high,丸田絵美 プロフィール 市議,https://x.com/search?q=%E4%B8%B8%E7%94%B0%E7%B5%B5%E7%BE%8E%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
丸田　絵美,party_search,medium,チャレンジ調布21 調布市 丸田,https://x.com/search?q=%E3%83%81%E3%83%A3%E3%83%AC%E3%83%B3%E3%82%B8%E8%AA%BF%E5%B8%8321%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E4%B8%B8%E7%94%B0&f=user
丸田　絵美,party_search,medium,"""チャレンジ調布21"" メンバー 丸田　絵美",https://x.com/search?q=%22%E3%83%81%E3%83%A3%E3%83%AC%E3%83%B3%E3%82%B8%E8%AA%BF%E5%B8%8321%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%B8%B8%E7%94%B0%E3%80%80%E7%B5%B5%E7%BE%8E&f=user
丸田　絵美,election_search,low,丸田　絵美 当選 調布市,https://x.com/search?q=%E4%B8%B8%E7%94%B0%E3%80%80%E7%B5%B5%E7%BE%8E%20%E5%BD%93%E9%81%B8%20%E8%AA%BF%E5%B8%83%E5%B8%82&f=user
丸田　絵美,election_search,low,#調布市選挙 丸田　絵美,https://x.com/search?q=%23%E8%AA%BF%E5%B8%83%E5%B8%82%E9%81%B8%E6%8C%99%20%E4%B8%B8%E7%94%B0%E3%80%80%E7%B5%B5%E7%BE%8E&f=user
丸田　絵美,election_search,low,丸田　絵美 選挙ポスター,https://x.com/search?q=%E4%B8%B8%E7%94%B0%E3%80%80%E7%B5%B5%E7%BE%8E%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
雨宮　幸男,direct_search,high,"""雨宮　幸男"" 市議 -RT",https://x.com/search?q=%22%E9%9B%A8%E5%AE%AE%E3%80%80%E5%B9%B8%E7%94%B7%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
雨宮　幸男,direct_search,high,"""雨宮　幸男"" 調布市 議員",https://x.com/search?q=%22%E9%9B%A8%E5%AE%AE%E3%80%80%E5%B9%B8%E7%94%B7%22%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
雨宮　幸男,direct_search,high,雨宮幸男 プロフィール 市議,https://x.com/search?q=%E9%9B%A8%E5%AE%AE%E5%B9%B8%E7%94%B7%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
雨宮　幸男,party_search,medium,日本共産党 調布市 雨宮,https://x.com/search?q=%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E9%9B%A8%E5%AE%AE&f=user
雨宮　幸男,party_search,medium,"""日本共産党"" メンバー 雨宮　幸男",https://x.com/search?q=%22%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E9%9B%A8%E5%AE%AE%E3%80%80%E5%B9%B8%E7%94%B7&f=user
雨宮　幸男,election_search,low,雨宮　幸男 当選 調布市,https://x.com/search?q=%E9%9B%A8%E5%AE%AE%E3%80%80%E5%B9%B8%E7%94%B7%20%E5%BD%93%E9%81%B8%20%E8%AA%BF%E5%B8%83%E5%B8%82&f=user
雨宮　幸男,election_search,low,#調布市選挙 雨宮　幸男,https://x.com/search?q=%23%E8%AA%BF%E5%B8%83%E5%B8%82%E9%81%B8%E6%8C%99%20%E9%9B%A8%E5%AE%AE%E3%80%80%E5%B9%B8%E7%94%B7&f=user
雨宮　幸男,election_search,low,雨宮　幸男 選挙ポスター,https://x.com/search?q=%E9%9B%A8%E5%AE%AE%E3%80%80%E5%B9%B8%E7%94%B7%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
井樋　匡利,direct_search,high,"""井樋　匡利"" 市議 -RT",https://x.com/search?q=%22%E4%BA%95%E6%A8%8B%E3%80%80%E5%8C%A1%E5%88%A9%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
井樋　匡利,direct_search,high,"""井樋　匡利"" 調布市 議員",https://x.com/search?q=%22%E4%BA%95%E6%A8%8B%E3%80%80%E5%8C%A1%E5%88%A9%22%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
井樋　匡利,direct_search,high,井樋匡利 プロフィール 市議,https://x.com/search?q=%E4%BA%95%E6%A8%8B%E5%8C%A1%E5%88%A9%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
井樋　匡利,party_search,medium,自民党新政会 調布市 井樋,https://x.com/search?q=%E8%87%AA%E6%B0%91%E5%85%9A%E6%96%B0%E6%94%BF%E4%BC%9A%20%E8%AA%BF%E5%B8%83%E5%B8%82%20%E4%BA%95%E6%A8%8B&f=user
