member_name,strategy_type,priority,query,url
渡辺　さとし,direct_search,high,"""渡辺　さとし"" 市議 -RT",https://x.com/search?q=%22%E6%B8%A1%E8%BE%BA%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
渡辺　さとし,direct_search,high,"""渡辺　さとし"" 町田市 議員",https://x.com/search?q=%22%E6%B8%A1%E8%BE%BA%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%22%20%E7%94%BA%E7%94%B0%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
渡辺　さとし,direct_search,high,渡辺さとし プロフィール 市議,https://x.com/search?q=%E6%B8%A1%E8%BE%BA%E3%81%95%E3%81%A8%E3%81%97%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
渡辺　さとし,party_search,medium,まちだ市民クラブ 町田市 渡辺,https://x.com/search?q=%E3%81%BE%E3%81%A1%E3%81%A0%E5%B8%82%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%20%E7%94%BA%E7%94%B0%E5%B8%82%20%E6%B8%A1%E8%BE%BA&f=user
渡辺　さとし,party_search,medium,"""まちだ市民クラブ"" メンバー 渡辺　さとし",https://x.com/search?q=%22%E3%81%BE%E3%81%A1%E3%81%A0%E5%B8%82%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%B8%A1%E8%BE%BA%E3%80%80%E3%81%95%E3%81%A8%E3%81%97&f=user
渡辺　さとし,election_search,low,渡辺　さとし 当選 町田市,https://x.com/search?q=%E6%B8%A1%E8%BE%BA%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%20%E5%BD%93%E9%81%B8%20%E7%94%BA%E7%94%B0%E5%B8%82&f=user
渡辺　さとし,election_search,low,#町田市選挙 渡辺　さとし,https://x.com/search?q=%23%E7%94%BA%E7%94%B0%E5%B8%82%E9%81%B8%E6%8C%99%20%E6%B8%A1%E8%BE%BA%E3%80%80%E3%81%95%E3%81%A8%E3%81%97&f=user
渡辺　さとし,election_search,low,渡辺　さとし 選挙ポスター,https://x.com/search?q=%E6%B8%A1%E8%BE%BA%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
笹倉　みどり,direct_search,high,"""笹倉　みどり"" 市議 -RT",https://x.com/search?q=%22%E7%AC%B9%E5%80%89%E3%80%80%E3%81%BF%E3%81%A9%E3%82%8A%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
笹倉　みどり,direct_search,high,"""笹倉　みどり"" 町田市 議員",https://x.com/search?q=%22%E7%AC%B9%E5%80%89%E3%80%80%E3%81%BF%E3%81%A9%E3%82%8A%22%20%E7%94%BA%E7%94%B0%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
笹倉　みどり,direct_search,high,笹倉みどり プロフィール 市議,https://x.com/search?q=%E7%AC%B9%E5%80%89%E3%81%BF%E3%81%A9%E3%82%8A%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
笹倉　みどり,party_search,medium,まちだ市民クラブ 町田市 笹倉,https://x.com/search?q=%E3%81%BE%E3%81%A1%E3%81%A0%E5%B8%82%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%20%E7%94%BA%E7%94%B0%E5%B8%82%20%E7%AC%B9%E5%80%89&f=user
笹倉　みどり,party_search,medium,"""まちだ市民クラブ"" メンバー 笹倉　みどり",https://x.com/search?q=%22%E3%81%BE%E3%81%A1%E3%81%A0%E5%B8%82%E6%B0%91%E3%82%AF%E3%83%A9%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E7%AC%B9%E5%80%89%E3%80%80%E3%81%BF%E3%81%A9%E3%82%8A&f=user
笹倉　みどり,election_search,low,笹倉　みどり 当選 町田市,https://x.com/search?q=%E7%AC%B9%E5%80%89%E3%80%80%E3%81%BF%E3%81%A9%E3%82%8A%20%E5%BD%93%E9%81%B8%20%E7%94%BA%E7%94%B0%E5%B8%82&f=user
笹倉　みどり,election_search,low,#町田市選挙 笹倉　みどり,https://x.com/search?q=%23%E7%94%BA%E7%94%B0%E5%B8%82%E9%81%B8%E6%8C%99%20%E7%AC%B9%E5%80%89%E3%80%80%E3%81%BF%E3%81%A9%E3%82%8A&f=user
笹倉　みどり,election_search,low,笹倉　みどり 選挙ポスター,https://x.com/search?q=%E7%AC%B9%E5%80%89%E3%80%80%E3%81%BF%E3%81%A9%E3%82%8A%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
加藤　真彦,direct_search,high,"""加藤　真彦"" 市議 -RT",https://x.com/search?q=%22%E5%8A%A0%E8%97%A4%E3%80%80%E7%9C%9F%E5%BD%A6%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
