member_name,strategy_type,priority,query,url
太田　浩典,direct_search,high,"""太田　浩典"" 市議 -RT",https://x.com/search?q=%22%E5%A4%AA%E7%94%B0%E3%80%80%E6%B5%A9%E5%85%B8%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
太田　浩典,direct_search,high,"""太田　浩典"" 小金井市 議員",https://x.com/search?q=%22%E5%A4%AA%E7%94%B0%E3%80%80%E6%B5%A9%E5%85%B8%22%20%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
太田　浩典,direct_search,high,太田浩典 プロフィール 市議,https://x.com/search?q=%E5%A4%AA%E7%94%B0%E6%B5%A9%E5%85%B8%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
太田　浩典,party_search,medium,小金井市政会 小金井市 太田,https://x.com/search?q=%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%E6%94%BF%E4%BC%9A%20%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%20%E5%A4%AA%E7%94%B0&f=user
太田　浩典,party_search,medium,"""小金井市政会"" メンバー 太田　浩典",https://x.com/search?q=%22%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%E6%94%BF%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%A4%AA%E7%94%B0%E3%80%80%E6%B5%A9%E5%85%B8&f=user
太田　浩典,election_search,low,太田　浩典 当選 小金井市,https://x.com/search?q=%E5%A4%AA%E7%94%B0%E3%80%80%E6%B5%A9%E5%85%B8%20%E5%BD%93%E9%81%B8%20%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82&f=user
太田　浩典,election_search,low,#小金井市選挙 太田　浩典,https://x.com/search?q=%23%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%A4%AA%E7%94%B0%E3%80%80%E6%B5%A9%E5%85%B8&f=user
太田　浩典,election_search,low,太田　浩典 選挙ポスター,https://x.com/search?q=%E5%A4%AA%E7%94%B0%E3%80%80%E6%B5%A9%E5%85%B8%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
中井　れい子,direct_search,high,"""中井　れい子"" 市議 -RT",https://x.com/search?q=%22%E4%B8%AD%E4%BA%95%E3%80%80%E3%82%8C%E3%81%84%E5%AD%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
中井　れい子,direct_search,high,"""中井　れい子"" 小金井市 議員",https://x.com/search?q=%22%E4%B8%AD%E4%BA%95%E3%80%80%E3%82%8C%E3%81%84%E5%AD%90%22%20%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
中井　れい子,direct_search,high,中井れい子 プロフィール 市議,https://x.com/search?q=%E4%B8%AD%E4%BA%95%E3%82%8C%E3%81%84%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
中井　れい子,party_search,medium,小金井市政会 小金井市 中井,https://x.com/search?q=%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%E6%94%BF%E4%BC%9A%20%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%20%E4%B8%AD%E4%BA%95&f=user
中井　れい子,party_search,medium,"""小金井市政会"" メンバー 中井　れい子",https://x.com/search?q=%22%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82%E6%94%BF%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%B8%AD%E4%BA%95%E3%80%80%E3%82%8C%E3%81%84%E5%AD%90&f=user
中井　れい子,election_search,low,中井　れい子 当選 小金井市,https://x.com/search?q=%E4%B8%AD%E4%BA%95%E3%80%80%E3%82%8C%E3%81%84%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E5%B0%8F%E9%87%91%E4%BA%95%E5%B8%82&f=user
