member_name,strategy_type,priority,query,url
わたなべ　三枝,direct_search,high,"""わたなべ　三枝"" 市議 -RT",https://x.com/search?q=%22%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E3%80%80%E4%B8%89%E6%9E%9D%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
わたなべ　三枝,direct_search,high,"""わたなべ　三枝"" 日野市 議員",https://x.com/search?q=%22%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E3%80%80%E4%B8%89%E6%9E%9D%22%20%E6%97%A5%E9%87%8E%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
わたなべ　三枝,direct_search,high,わたなべ三枝 プロフィール 市議,https://x.com/search?q=%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E4%B8%89%E6%9E%9D%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
わたなべ　三枝,party_search,medium,日本共産党日野市議団 日野市 わたなべ,https://x.com/search?q=%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%E6%97%A5%E9%87%8E%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E6%97%A5%E9%87%8E%E5%B8%82%20%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9&f=user
わたなべ　三枝,party_search,medium,"""日本共産党日野市議団"" メンバー わたなべ　三枝",https://x.com/search?q=%22%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%E6%97%A5%E9%87%8E%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E3%80%80%E4%B8%89%E6%9E%9D&f=user
わたなべ　三枝,election_search,low,わたなべ　三枝 当選 日野市,https://x.com/search?q=%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E3%80%80%E4%B8%89%E6%9E%9D%20%E5%BD%93%E9%81%B8%20%E6%97%A5%E9%87%8E%E5%B8%82&f=user
わたなべ　三枝,election_search,low,#日野市選挙 わたなべ　三枝,https://x.com/search?q=%23%E6%97%A5%E9%87%8E%E5%B8%82%E9%81%B8%E6%8C%99%20%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E3%80%80%E4%B8%89%E6%9E%9D&f=user
わたなべ　三枝,election_search,low,わたなべ　三枝 選挙ポスター,https://x.com/search?q=%E3%82%8F%E3%81%9F%E3%81%AA%E3%81%B9%E3%80%80%E4%B8%89%E6%9E%9D%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
佐藤　琢磨,direct_search,high,"""佐藤　琢磨"" 市議 -RT",https://x.com/search?q=%22%E4%BD%90%E8%97%A4%E3%80%80%E7%90%A2%E7%A3%A8%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
佐藤　琢磨,direct_search,high,"""佐藤　琢磨"" 日野市 議員",https://x.com/search?q=%22%E4%BD%90%E8%97%A4%E3%80%80%E7%90%A2%E7%A3%A8%22%20%E6%97%A5%E9%87%8E%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
