member_name,strategy_type,priority,query,url
小町　明夫,direct_search,high,"""小町　明夫"" 市議 -RT",https://x.com/search?q=%22%E5%B0%8F%E7%94%BA%E3%80%80%E6%98%8E%E5%A4%AB%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
小町　明夫,direct_search,high,"""小町　明夫"" 東村山市 議員",https://x.com/search?q=%22%E5%B0%8F%E7%94%BA%E3%80%80%E6%98%8E%E5%A4%AB%22%20%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
小町　明夫,direct_search,high,小町明夫 プロフィール 市議,https://x.com/search?q=%E5%B0%8F%E7%94%BA%E6%98%8E%E5%A4%AB%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
小町　明夫,party_search,medium,自由民主党 東村山市 小町,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%20%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%20%E5%B0%8F%E7%94%BA&f=user
小町　明夫,party_search,medium,"""自由民主党"" メンバー 小町　明夫",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%B0%8F%E7%94%BA%E3%80%80%E6%98%8E%E5%A4%AB&f=user
小町　明夫,election_search,low,小町　明夫 当選 東村山市,https://x.com/search?q=%E5%B0%8F%E7%94%BA%E3%80%80%E6%98%8E%E5%A4%AB%20%E5%BD%93%E9%81%B8%20%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82&f=user
小町　明夫,election_search,low,#東村山市選挙 小町　明夫,https://x.com/search?q=%23%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%B0%8F%E7%94%BA%E3%80%80%E6%98%8E%E5%A4%AB&f=user
小町　明夫,election_search,low,小町　明夫 選挙ポスター,https://x.com/search?q=%E5%B0%8F%E7%94%BA%E3%80%80%E6%98%8E%E5%A4%AB%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
子安　じゅん,direct_search,high,"""子安　じゅん"" 市議 -RT",https://x.com/search?q=%22%E5%AD%90%E5%AE%89%E3%80%80%E3%81%98%E3%82%85%E3%82%93%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
子安　じゅん,direct_search,high,"""子安　じゅん"" 東村山市 議員",https://x.com/search?q=%22%E5%AD%90%E5%AE%89%E3%80%80%E3%81%98%E3%82%85%E3%82%93%22%20%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
