member_name,strategy_type,priority,query,url
田中　政義,direct_search,high,"""田中　政義"" 市議 -RT",https://x.com/search?q=%22%E7%94%B0%E4%B8%AD%E3%80%80%E6%94%BF%E7%BE%A9%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
田中　政義,direct_search,high,"""田中　政義"" 国分寺市 議員",https://x.com/search?q=%22%E7%94%B0%E4%B8%AD%E3%80%80%E6%94%BF%E7%BE%A9%22%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
田中　政義,direct_search,high,田中政義 プロフィール 市議,https://x.com/search?q=%E7%94%B0%E4%B8%AD%E6%94%BF%E7%BE%A9%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
田中　政義,party_search,medium,自由民主党国分寺 国分寺市 田中,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%9B%BD%E5%88%86%E5%AF%BA%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%20%E7%94%B0%E4%B8%AD&f=user
田中　政義,party_search,medium,"""自由民主党国分寺"" メンバー 田中　政義",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%9B%BD%E5%88%86%E5%AF%BA%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E7%94%B0%E4%B8%AD%E3%80%80%E6%94%BF%E7%BE%A9&f=user
田中　政義,election_search,low,田中　政義 当選 国分寺市,https://x.com/search?q=%E7%94%B0%E4%B8%AD%E3%80%80%E6%94%BF%E7%BE%A9%20%E5%BD%93%E9%81%B8%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82&f=user
田中　政義,election_search,low,#国分寺市選挙 田中　政義,https://x.com/search?q=%23%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%E9%81%B8%E6%8C%99%20%E7%94%B0%E4%B8%AD%E3%80%80%E6%94%BF%E7%BE%A9&f=user
田中　政義,election_search,low,田中　政義 選挙ポスター,https://x.com/search?q=%E7%94%B0%E4%B8%AD%E3%80%80%E6%94%BF%E7%BE%A9%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
新海　栄一,direct_search,high,"""新海　栄一"" 市議 -RT",https://x.com/search?q=%22%E6%96%B0%E6%B5%B7%E3%80%80%E6%A0%84%E4%B8%80%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
新海　栄一,direct_search,high,"""新海　栄一"" 国分寺市 議員",https://x.com/search?q=%22%E6%96%B0%E6%B5%B7%E3%80%80%E6%A0%84%E4%B8%80%22%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
新海　栄一,direct_search,high,新海栄一 プロフィール 市議,https://x.com/search?q=%E6%96%B0%E6%B5%B7%E6%A0%84%E4%B8%80%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
新海　栄一,party_search,medium,自由民主党国分寺 国分寺市 新海,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%9B%BD%E5%88%86%E5%AF%BA%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%20%E6%96%B0%E6%B5%B7&f=user
新海　栄一,party_search,medium,"""自由民主党国分寺"" メンバー 新海　栄一",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%9B%BD%E5%88%86%E5%AF%BA%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%96%B0%E6%B5%B7%E3%80%80%E6%A0%84%E4%B8%80&f=user
新海　栄一,election_search,low,新海　栄一 当選 国分寺市,https://x.com/search?q=%E6%96%B0%E6%B5%B7%E3%80%80%E6%A0%84%E4%B8%80%20%E5%BD%93%E9%81%B8%20%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82&f=user
新海　栄一,election_search,low,#国分寺市選挙 新海　栄一,https://x.com/search?q=%23%E5%9B%BD%E5%88%86%E5%AF%BA%E5%B8%82%E9%81%B8%E6%8C%99%20%E6%96%B0%E6%B5%B7%E3%80%80%E6%A0%84%E4%B8%80&f=user
新海　栄一,election_search,low,新海　栄一 選挙ポスター,https://x.com/search?q=%E6%96%B0%E6%B5%B7%E3%80%80%E6%A0%84%E4%B8%80%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
