member_name,strategy_type,priority,query,url
佐藤　弘治,direct_search,high,"""佐藤　弘治"" 市議 -RT",https://x.com/search?q=%22%E4%BD%90%E8%97%A4%E3%80%80%E5%BC%98%E6%B2%BB%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
佐藤　弘治,direct_search,high,"""佐藤　弘治"" 福生市 議員",https://x.com/search?q=%22%E4%BD%90%E8%97%A4%E3%80%80%E5%BC%98%E6%B2%BB%22%20%E7%A6%8F%E7%94%9F%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
佐藤　弘治,direct_search,high,佐藤弘治 プロフィール 市議,https://x.com/search?q=%E4%BD%90%E8%97%A4%E5%BC%98%E6%B2%BB%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
佐藤　弘治,party_search,medium,正和会 福生市 佐藤,https://x.com/search?q=%E6%AD%A3%E5%92%8C%E4%BC%9A%20%E7%A6%8F%E7%94%9F%E5%B8%82%20%E4%BD%90%E8%97%A4&f=user
佐藤　弘治,party_search,medium,"""正和会"" メンバー 佐藤　弘治",https://x.com/search?q=%22%E6%AD%A3%E5%92%8C%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%BD%90%E8%97%A4%E3%80%80%E5%BC%98%E6%B2%BB&f=user
佐藤　弘治,election_search,low,佐藤　弘治 当選 福生市,https://x.com/search?q=%E4%BD%90%E8%97%A4%E3%80%80%E5%BC%98%E6%B2%BB%20%E5%BD%93%E9%81%B8%20%E7%A6%8F%E7%94%9F%E5%B8%82&f=user
佐藤　弘治,election_search,low,#福生市選挙 佐藤　弘治,https://x.com/search?q=%23%E7%A6%8F%E7%94%9F%E5%B8%82%E9%81%B8%E6%8C%99%20%E4%BD%90%E8%97%A4%E3%80%80%E5%BC%98%E6%B2%BB&f=user
佐藤　弘治,election_search,low,佐藤　弘治 選挙ポスター,https://x.com/search?q=%E4%BD%90%E8%97%A4%E3%80%80%E5%BC%98%E6%B2%BB%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
仲間　正司,direct_search,high,"""仲間　正司"" 市議 -RT",https://x.com/search?q=%22%E4%BB%B2%E9%96%93%E3%80%80%E6%AD%A3%E5%8F%B8%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
仲間　正司,direct_search,high,"""仲間　正司"" 福生市 議員",https://x.com/search?q=%22%E4%BB%B2%E9%96%93%E3%80%80%E6%AD%A3%E5%8F%B8%22%20%E7%A6%8F%E7%94%9F%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
仲間　正司,direct_search,high,仲間正司 プロフィール 市議,https://x.com/search?q=%E4%BB%B2%E9%96%93%E6%AD%A3%E5%8F%B8%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
仲間　正司,party_search,medium,正和会 福生市 仲間,https://x.com/search?q=%E6%AD%A3%E5%92%8C%E4%BC%9A%20%E7%A6%8F%E7%94%9F%E5%B8%82%20%E4%BB%B2%E9%96%93&f=user
