member_name,strategy_type,priority,query,url
ひらい　里美,direct_search,high,"""ひらい　里美"" 市議 -RT",https://x.com/search?q=%22%E3%81%B2%E3%82%89%E3%81%84%E3%80%80%E9%87%8C%E7%BE%8E%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
ひらい　里美,direct_search,high,"""ひらい　里美"" 狛江市 議員",https://x.com/search?q=%22%E3%81%B2%E3%82%89%E3%81%84%E3%80%80%E9%87%8C%E7%BE%8E%22%20%E7%8B%9B%E6%B1%9F%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
ひらい　里美,direct_search,high,ひらい里美 プロフィール 市議,https://x.com/search?q=%E3%81%B2%E3%82%89%E3%81%84%E9%87%8C%E7%BE%8E%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
ひらい　里美,party_search,medium,無会派 狛江市 ひらい,https://x.com/search?q=%E7%84%A1%E4%BC%9A%E6%B4%BE%20%E7%8B%9B%E6%B1%9F%E5%B8%82%20%E3%81%B2%E3%82%89%E3%81%84&f=user
ひらい　里美,party_search,medium,"""無会派"" メンバー ひらい　里美",https://x.com/search?q=%22%E7%84%A1%E4%BC%9A%E6%B4%BE%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E3%81%B2%E3%82%89%E3%81%84%E3%80%80%E9%87%8C%E7%BE%8E&f=user
ひらい　里美,election_search,low,ひらい　里美 当選 狛江市,https://x.com/search?q=%E3%81%B2%E3%82%89%E3%81%84%E3%80%80%E9%87%8C%E7%BE%8E%20%E5%BD%93%E9%81%B8%20%E7%8B%9B%E6%B1%9F%E5%B8%82&f=user
ひらい　里美,election_search,low,#狛江市選挙 ひらい　里美,https://x.com/search?q=%23%E7%8B%9B%E6%B1%9F%E5%B8%82%E9%81%B8%E6%8C%99%20%E3%81%B2%E3%82%89%E3%81%84%E3%80%80%E9%87%8C%E7%BE%8E&f=user
ひらい　里美,election_search,low,ひらい　里美 選挙ポスター,https://x.com/search?q=%E3%81%B2%E3%82%89%E3%81%84%E3%80%80%E9%87%8C%E7%BE%8E%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
高木　さとこ,direct_search,high,"""高木　さとこ"" 市議 -RT",https://x.com/search?q=%22%E9%AB%98%E6%9C%A8%E3%80%80%E3%81%95%E3%81%A8%E3%81%93%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
高木　さとこ,direct_search,high,"""高木　さとこ"" 狛江市 議員",https://x.com/search?q=%22%E9%AB%98%E6%9C%A8%E3%80%80%E3%81%95%E3%81%A8%E3%81%93%22%20%E7%8B%9B%E6%B1%9F%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
高木　さとこ,direct_search,high,高木さとこ プロフィール 市議,https://x.com/search?q=%E9%AB%98%E6%9C%A8%E3%81%95%E3%81%A8%E3%81%93%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
高木　さとこ,party_search,medium,無会派 狛江市 高木,https://x.com/search?q=%E7%84%A1%E4%BC%9A%E6%B4%BE%20%E7%8B%9B%E6%B1%9F%E5%B8%82%20%E9%AB%98%E6%9C%A8&f=user
高木　さとこ,party_search,medium,"""無会派"" メンバー 高木　さとこ",https://x.com/search?q=%22%E7%84%A1%E4%BC%9A%E6%B4%BE%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E9%AB%98%E6%9C%A8%E3%80%80%E3%81%95%E3%81%A8%E3%81%93&f=user
高木　さとこ,election_search,low,高木　さとこ 当選 狛江市,https://x.com/search?q=%E9%AB%98%E6%9C%A8%E3%80%80%E3%81%95%E3%81%A8%E3%81%93%20%E5%BD%93%E9%81%B8%20%E7%8B%9B%E6%B1%9F%E5%B8%82&f=user
高木　さとこ,election_search,low,#狛江市選挙 高木　さとこ,https://x.com/search?q=%23%E7%8B%9B%E6%B1%9F%E5%B8%82%E9%81%B8%E6%8C%99%20%E9%AB%98%E6%9C%A8%E3%80%80%E3%81%95%E3%81%A8%E3%81%93&f=user
高木　さとこ,election_search,low,高木　さとこ 選挙ポスター,https://x.com/search?q=%E9%AB%98%E6%9C%A8%E3%80%80%E3%81%95%E3%81%A8%E3%81%93%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
吉野　芳子,direct_search,high,"""吉野　芳子"" 市議 -RT",https://x.com/search?q=%22%E5%90%89%E9%87%8E%E3%80%80%E8%8A%B3%E5%AD%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
吉野　芳子,direct_search,high,"""吉野　芳子"" 狛江市 議員",https://x.com/search?q=%22%E5%90%89%E9%87%8E%E3%80%80%E8%8A%B3%E5%AD%90%22%20%E7%8B%9B%E6%B1%9F%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
吉野　芳子,direct_search,high,吉野芳子 プロフィール 市議,https://x.com/search?q=%E5%90%89%E9%87%8E%E8%8A%B3%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
吉野　芳子,party_search,medium,無会派 狛江市 吉野,https://x.com/search?q=%E7%84%A1%E4%BC%9A%E6%B4%BE%20%E7%8B%9B%E6%B1%9F%E5%B8%82%20%E5%90%89%E9%87%8E&f=user
吉野　芳子,party_search,medium,"""無会派"" メンバー 吉野　芳子",https://x.com/search?q=%22%E7%84%A1%E4%BC%9A%E6%B4%BE%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%90%89%E9%87%8E%E3%80%80%E8%8A%B3%E5%AD%90&f=user
吉野　芳子,election_search,low,吉野　芳子 当選 狛江市,https://x.com/search?q=%E5%90%89%E9%87%8E%E3%80%80%E8%8A%B3%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E7%8B%9B%E6%B1%9F%E5%B8%82&f=user
吉野　芳子,election_search,low,#狛江市選挙 吉野　芳子,https://x.com/search?q=%23%E7%8B%9B%E6%B1%9F%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%90%89%E9%87%8E%E3%80%80%E8%8A%B3%E5%AD%90&f=user
吉野　芳子,election_search,low,吉野　芳子 選挙ポスター,https://x.com/search?q=%E5%90%89%E9%87%8E%E3%80%80%E8%8A%B3%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
