member_name,strategy_type,priority,query,url
原　かずひろ,direct_search,high,"""原　かずひろ"" 市議 -RT",https://x.com/search?q=%22%E5%8E%9F%E3%80%80%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
原　かずひろ,direct_search,high,"""原　かずひろ"" 清瀬市 議員",https://x.com/search?q=%22%E5%8E%9F%E3%80%80%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D%22%20%E6%B8%85%E7%80%AC%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
原　かずひろ,direct_search,high,原かずひろ プロフィール 市議,https://x.com/search?q=%E5%8E%9F%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
原　かずひろ,party_search,medium,公明党 清瀬市 原,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%85%9A%20%E6%B8%85%E7%80%AC%E5%B8%82%20%E5%8E%9F&f=user
原　かずひろ,party_search,medium,"""公明党"" メンバー 原　かずひろ",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%8E%9F%E3%80%80%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D&f=user
原　かずひろ,election_search,low,原　かずひろ 当選 清瀬市,https://x.com/search?q=%E5%8E%9F%E3%80%80%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D%20%E5%BD%93%E9%81%B8%20%E6%B8%85%E7%80%AC%E5%B8%82&f=user
原　かずひろ,election_search,low,#清瀬市選挙 原　かずひろ,https://x.com/search?q=%23%E6%B8%85%E7%80%AC%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%8E%9F%E3%80%80%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D&f=user
原　かずひろ,election_search,low,原　かずひろ 選挙ポスター,https://x.com/search?q=%E5%8E%9F%E3%80%80%E3%81%8B%E3%81%9A%E3%81%B2%E3%82%8D%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
やつだ　こうじ,direct_search,high,"""やつだ　こうじ"" 市議 -RT",https://x.com/search?q=%22%E3%82%84%E3%81%A4%E3%81%A0%E3%80%80%E3%81%93%E3%81%86%E3%81%98%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
やつだ　こうじ,direct_search,high,"""やつだ　こうじ"" 清瀬市 議員",https://x.com/search?q=%22%E3%82%84%E3%81%A4%E3%81%A0%E3%80%80%E3%81%93%E3%81%86%E3%81%98%22%20%E6%B8%85%E7%80%AC%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
