member_name,strategy_type,priority,query,url
あらたに　隆見,direct_search,high,"""あらたに　隆見"" 市議 -RT",https://x.com/search?q=%22%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E3%80%80%E9%9A%86%E8%A6%8B%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
あらたに　隆見,direct_search,high,"""あらたに　隆見"" 多摩市 議員",https://x.com/search?q=%22%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E3%80%80%E9%9A%86%E8%A6%8B%22%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
あらたに　隆見,direct_search,high,あらたに隆見 プロフィール 市議,https://x.com/search?q=%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E9%9A%86%E8%A6%8B%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
あらたに　隆見,party_search,medium,公明党 多摩市 あらたに,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%85%9A%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB&f=user
あらたに　隆見,party_search,medium,"""公明党"" メンバー あらたに　隆見",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E3%80%80%E9%9A%86%E8%A6%8B&f=user
あらたに　隆見,election_search,low,あらたに　隆見 当選 多摩市,https://x.com/search?q=%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E3%80%80%E9%9A%86%E8%A6%8B%20%E5%BD%93%E9%81%B8%20%E5%A4%9A%E6%91%A9%E5%B8%82&f=user
あらたに　隆見,election_search,low,#多摩市選挙 あらたに　隆見,https://x.com/search?q=%23%E5%A4%9A%E6%91%A9%E5%B8%82%E9%81%B8%E6%8C%99%20%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E3%80%80%E9%9A%86%E8%A6%8B&f=user
あらたに　隆見,election_search,low,あらたに　隆見 選挙ポスター,https://x.com/search?q=%E3%81%82%E3%82%89%E3%81%9F%E3%81%AB%E3%80%80%E9%9A%86%E8%A6%8B%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
石山　ひろあき,direct_search,high,"""石山　ひろあき"" 市議 -RT",https://x.com/search?q=%22%E7%9F%B3%E5%B1%B1%E3%80%80%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
石山　ひろあき,direct_search,high,"""石山　ひろあき"" 多摩市 議員",https://x.com/search?q=%22%E7%9F%B3%E5%B1%B1%E3%80%80%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D%22%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
石山　ひろあき,direct_search,high,石山ひろあき プロフィール 市議,https://x.com/search?q=%E7%9F%B3%E5%B1%B1%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
石山　ひろあき,party_search,medium,自民党 多摩市 石山,https://x.com/search?q=%E8%87%AA%E6%B0%91%E5%85%9A%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E7%9F%B3%E5%B1%B1&f=user
石山　ひろあき,party_search,medium,"""自民党"" メンバー 石山　ひろあき",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E7%9F%B3%E5%B1%B1%E3%80%80%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D&f=user
石山　ひろあき,election_search,low,石山　ひろあき 当選 多摩市,https://x.com/search?q=%E7%9F%B3%E5%B1%B1%E3%80%80%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D%20%E5%BD%93%E9%81%B8%20%E5%A4%9A%E6%91%A9%E5%B8%82&f=user
石山　ひろあき,election_search,low,#多摩市選挙 石山　ひろあき,https://x.com/search?q=%23%E5%A4%9A%E6%91%A9%E5%B8%82%E9%81%B8%E6%8C%99%20%E7%9F%B3%E5%B1%B1%E3%80%80%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D&f=user
石山　ひろあき,election_search,low,石山　ひろあき 選挙ポスター,https://x.com/search?q=%E7%9F%B3%E5%B1%B1%E3%80%80%E3%81%B2%E3%82%8D%E3%81%82%E3%81%8D%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
上杉　ただし,direct_search,high,"""上杉　ただし"" 市議 -RT",https://x.com/search?q=%22%E4%B8%8A%E6%9D%89%E3%80%80%E3%81%9F%E3%81%A0%E3%81%97%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
上杉　ただし,direct_search,high,"""上杉　ただし"" 多摩市 議員",https://x.com/search?q=%22%E4%B8%8A%E6%9D%89%E3%80%80%E3%81%9F%E3%81%A0%E3%81%97%22%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
上杉　ただし,direct_search,high,上杉ただし プロフィール 市議,https://x.com/search?q=%E4%B8%8A%E6%9D%89%E3%81%9F%E3%81%A0%E3%81%97%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
上杉　ただし,party_search,medium,日本共産党 多摩市 上杉,https://x.com/search?q=%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E4%B8%8A%E6%9D%89&f=user
上杉　ただし,party_search,medium,"""日本共産党"" メンバー 上杉　ただし",https://x.com/search?q=%22%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%B8%8A%E6%9D%89%E3%80%80%E3%81%9F%E3%81%A0%E3%81%97&f=user
上杉　ただし,election_search,low,上杉　ただし 当選 多摩市,https://x.com/search?q=%E4%B8%8A%E6%9D%89%E3%80%80%E3%81%9F%E3%81%A0%E3%81%97%20%E5%BD%93%E9%81%B8%20%E5%A4%9A%E6%91%A9%E5%B8%82&f=user
上杉　ただし,election_search,low,#多摩市選挙 上杉　ただし,https://x.com/search?q=%23%E5%A4%9A%E6%91%A9%E5%B8%82%E9%81%B8%E6%8C%99%20%E4%B8%8A%E6%9D%89%E3%80%80%E3%81%9F%E3%81%A0%E3%81%97&f=user
上杉　ただし,election_search,low,上杉　ただし 選挙ポスター,https://x.com/search?q=%E4%B8%8A%E6%9D%89%E3%80%80%E3%81%9F%E3%81%A0%E3%81%97%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
おにづか　こずえ,direct_search,high,"""おにづか　こずえ"" 市議 -RT",https://x.com/search?q=%22%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%80%80%E3%81%93%E3%81%9A%E3%81%88%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
おにづか　こずえ,direct_search,high,"""おにづか　こずえ"" 多摩市 議員",https://x.com/search?q=%22%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%80%80%E3%81%93%E3%81%9A%E3%81%88%22%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
おにづか　こずえ,direct_search,high,おにづかこずえ プロフィール 市議,https://x.com/search?q=%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%81%93%E3%81%9A%E3%81%88%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
おにづか　こずえ,party_search,medium,あすたま・維新 多摩市 おにづか,https://x.com/search?q=%E3%81%82%E3%81%99%E3%81%9F%E3%81%BE%E3%83%BB%E7%B6%AD%E6%96%B0%20%E5%A4%9A%E6%91%A9%E5%B8%82%20%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B&f=user
おにづか　こずえ,party_search,medium,"""あすたま・維新"" メンバー おにづか　こずえ",https://x.com/search?q=%22%E3%81%82%E3%81%99%E3%81%9F%E3%81%BE%E3%83%BB%E7%B6%AD%E6%96%B0%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%80%80%E3%81%93%E3%81%9A%E3%81%88&f=user
おにづか　こずえ,election_search,low,おにづか　こずえ 当選 多摩市,https://x.com/search?q=%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%80%80%E3%81%93%E3%81%9A%E3%81%88%20%E5%BD%93%E9%81%B8%20%E5%A4%9A%E6%91%A9%E5%B8%82&f=user
おにづか　こずえ,election_search,low,#多摩市選挙 おにづか　こずえ,https://x.com/search?q=%23%E5%A4%9A%E6%91%A9%E5%B8%82%E9%81%B8%E6%8C%99%20%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%80%80%E3%81%93%E3%81%9A%E3%81%88&f=user
おにづか　こずえ,election_search,low,おにづか　こずえ 選挙ポスター,https://x.com/search?q=%E3%81%8A%E3%81%AB%E3%81%A5%E3%81%8B%E3%80%80%E3%81%93%E3%81%9A%E3%81%88%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
折戸　小夜子,direct_search,high,"""折戸　小夜子"" 市議 -RT",https://x.com/search?q=%22%E6%8A%98%E6%88%B8%E3%80%80%E5%B0%8F%E5%A4%9C%E5%AD%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
