member_name,strategy_type,priority,query,url
林田　敦子,direct_search,high,"""林田　敦子"" 市議 -RT",https://x.com/search?q=%22%E6%9E%97%E7%94%B0%E3%80%80%E6%95%A6%E5%AD%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
林田　敦子,direct_search,high,"""林田　敦子"" 羽村市 議員",https://x.com/search?q=%22%E6%9E%97%E7%94%B0%E3%80%80%E6%95%A6%E5%AD%90%22%20%E7%BE%BD%E6%9D%91%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
林田　敦子,direct_search,high,林田敦子 プロフィール 市議,https://x.com/search?q=%E6%9E%97%E7%94%B0%E6%95%A6%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
林田　敦子,party_search,medium,令和かがやき 羽村市 林田,https://x.com/search?q=%E4%BB%A4%E5%92%8C%E3%81%8B%E3%81%8C%E3%82%84%E3%81%8D%20%E7%BE%BD%E6%9D%91%E5%B8%82%20%E6%9E%97%E7%94%B0&f=user
林田　敦子,party_search,medium,"""令和かがやき"" メンバー 林田　敦子",https://x.com/search?q=%22%E4%BB%A4%E5%92%8C%E3%81%8B%E3%81%8C%E3%82%84%E3%81%8D%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%9E%97%E7%94%B0%E3%80%80%E6%95%A6%E5%AD%90&f=user
林田　敦子,election_search,low,林田　敦子 当選 羽村市,https://x.com/search?q=%E6%9E%97%E7%94%B0%E3%80%80%E6%95%A6%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E7%BE%BD%E6%9D%91%E5%B8%82&f=user
林田　敦子,election_search,low,#羽村市選挙 林田　敦子,https://x.com/search?q=%23%E7%BE%BD%E6%9D%91%E5%B8%82%E9%81%B8%E6%8C%99%20%E6%9E%97%E7%94%B0%E3%80%80%E6%95%A6%E5%AD%90&f=user
林田　敦子,election_search,low,林田　敦子 選挙ポスター,https://x.com/search?q=%E6%9E%97%E7%94%B0%E3%80%80%E6%95%A6%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
池澤　敦,direct_search,high,"""池澤　敦"" 市議 -RT",https://x.com/search?q=%22%E6%B1%A0%E6%BE%A4%E3%80%80%E6%95%A6%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
池澤　敦,direct_search,high,"""池澤　敦"" 羽村市 議員",https://x.com/search?q=%22%E6%B1%A0%E6%BE%A4%E3%80%80%E6%95%A6%22%20%E7%BE%BD%E6%9D%91%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
池澤　敦,direct_search,high,池澤敦 プロフィール 市議,https://x.com/search?q=%E6%B1%A0%E6%BE%A4%E6%95%A6%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
池澤　敦,party_search,medium,新政会 羽村市 池澤,https://x.com/search?q=%E6%96%B0%E6%94%BF%E4%BC%9A%20%E7%BE%BD%E6%9D%91%E5%B8%82%20%E6%B1%A0%E6%BE%A4&f=user
池澤　敦,party_search,medium,"""新政会"" メンバー 池澤　敦",https://x.com/search?q=%22%E6%96%B0%E6%94%BF%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%B1%A0%E6%BE%A4%E3%80%80%E6%95%A6&f=user
