member_name,strategy_type,priority,query,url
しょうじ　さとし,direct_search,high,"""しょうじ　さとし"" 市議 -RT",https://x.com/search?q=%22%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
しょうじ　さとし,direct_search,high,"""しょうじ　さとし"" あきる野市 議員",https://x.com/search?q=%22%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%22%20%E3%81%82%E3%81%8D%E3%82%8B%E9%87%8E%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
しょうじ　さとし,direct_search,high,しょうじさとし プロフィール 市議,https://x.com/search?q=%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%81%95%E3%81%A8%E3%81%97%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
しょうじ　さとし,party_search,medium,リメンバー あきる野市 しょうじ,https://x.com/search?q=%E3%83%AA%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E3%81%82%E3%81%8D%E3%82%8B%E9%87%8E%E5%B8%82%20%E3%81%97%E3%82%87%E3%81%86%E3%81%98&f=user
しょうじ　さとし,party_search,medium,"""リメンバー"" メンバー しょうじ　さとし",https://x.com/search?q=%22%E3%83%AA%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%80%80%E3%81%95%E3%81%A8%E3%81%97&f=user
しょうじ　さとし,election_search,low,しょうじ　さとし 当選 あきる野市,https://x.com/search?q=%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%20%E5%BD%93%E9%81%B8%20%E3%81%82%E3%81%8D%E3%82%8B%E9%87%8E%E5%B8%82&f=user
しょうじ　さとし,election_search,low,#あきる野市選挙 しょうじ　さとし,https://x.com/search?q=%23%E3%81%82%E3%81%8D%E3%82%8B%E9%87%8E%E5%B8%82%E9%81%B8%E6%8C%99%20%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%80%80%E3%81%95%E3%81%A8%E3%81%97&f=user
しょうじ　さとし,election_search,low,しょうじ　さとし 選挙ポスター,https://x.com/search?q=%E3%81%97%E3%82%87%E3%81%86%E3%81%98%E3%80%80%E3%81%95%E3%81%A8%E3%81%97%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
国松　まさき,direct_search,high,"""国松　まさき"" 市議 -RT",https://x.com/search?q=%22%E5%9B%BD%E6%9D%BE%E3%80%80%E3%81%BE%E3%81%95%E3%81%8D%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
国松　まさき,direct_search,high,"""国松　まさき"" あきる野市 議員",https://x.com/search?q=%22%E5%9B%BD%E6%9D%BE%E3%80%80%E3%81%BE%E3%81%95%E3%81%8D%22%20%E3%81%82%E3%81%8D%E3%82%8B%E9%87%8E%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
国松　まさき,direct_search,high,国松まさき プロフィール 市議,https://x.com/search?q=%E5%9B%BD%E6%9D%BE%E3%81%BE%E3%81%95%E3%81%8D%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
国松　まさき,party_search,medium,自由民主党志清会 あきる野市 国松,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%BF%97%E6%B8%85%E4%BC%9A%20%E3%81%82%E3%81%8D%E3%82%8B%E9%87%8E%E5%B8%82%20%E5%9B%BD%E6%9D%BE&f=user
国松　まさき,party_search,medium,"""自由民主党志清会"" メンバー 国松　まさき",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E5%BF%97%E6%B8%85%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%9B%BD%E6%9D%BE%E3%80%80%E3%81%BE%E3%81%95%E3%81%8D&f=user
