member_name,strategy_type,priority,query,url
稲垣　裕二,direct_search,high,"""稲垣　裕二"" 市議 -RT",https://x.com/search?q=%22%E7%A8%B2%E5%9E%A3%E3%80%80%E8%A3%95%E4%BA%8C%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
稲垣　裕二,direct_search,high,"""稲垣　裕二"" 西東京市 議員",https://x.com/search?q=%22%E7%A8%B2%E5%9E%A3%E3%80%80%E8%A3%95%E4%BA%8C%22%20%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
稲垣　裕二,direct_search,high,稲垣裕二 プロフィール 市議,https://x.com/search?q=%E7%A8%B2%E5%9E%A3%E8%A3%95%E4%BA%8C%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
稲垣　裕二,party_search,medium,自由民主党西東京市議団 西東京市 稲垣,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82%20%E7%A8%B2%E5%9E%A3&f=user
稲垣　裕二,party_search,medium,"""自由民主党西東京市議団"" メンバー 稲垣　裕二",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E7%A8%B2%E5%9E%A3%E3%80%80%E8%A3%95%E4%BA%8C&f=user
稲垣　裕二,election_search,low,稲垣　裕二 当選 西東京市,https://x.com/search?q=%E7%A8%B2%E5%9E%A3%E3%80%80%E8%A3%95%E4%BA%8C%20%E5%BD%93%E9%81%B8%20%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82&f=user
稲垣　裕二,election_search,low,#西東京市選挙 稲垣　裕二,https://x.com/search?q=%23%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82%E9%81%B8%E6%8C%99%20%E7%A8%B2%E5%9E%A3%E3%80%80%E8%A3%95%E4%BA%8C&f=user
稲垣　裕二,election_search,low,稲垣　裕二 選挙ポスター,https://x.com/search?q=%E7%A8%B2%E5%9E%A3%E3%80%80%E8%A3%95%E4%BA%8C%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
大竹　あつ子,direct_search,high,"""大竹　あつ子"" 市議 -RT",https://x.com/search?q=%22%E5%A4%A7%E7%AB%B9%E3%80%80%E3%81%82%E3%81%A4%E5%AD%90%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
大竹　あつ子,direct_search,high,"""大竹　あつ子"" 西東京市 議員",https://x.com/search?q=%22%E5%A4%A7%E7%AB%B9%E3%80%80%E3%81%82%E3%81%A4%E5%AD%90%22%20%E8%A5%BF%E6%9D%B1%E4%BA%AC%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
