member_name,strategy_type,priority,query,url
浜﨑　崇,direct_search,high,"""浜﨑　崇"" 町議 -RT",https://x.com/search?q=%22%E6%B5%9C%EF%A8%91%E3%80%80%E5%B4%87%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
浜﨑　崇,direct_search,high,"""浜﨑　崇"" 瑞穂町 議員",https://x.com/search?q=%22%E6%B5%9C%EF%A8%91%E3%80%80%E5%B4%87%22%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
浜﨑　崇,direct_search,high,浜﨑崇 プロフィール 町議,https://x.com/search?q=%E6%B5%9C%EF%A8%91%E5%B4%87%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
浜﨑　崇,party_search,medium,自民誠和会 瑞穂町 浜﨑,https://x.com/search?q=%E8%87%AA%E6%B0%91%E8%AA%A0%E5%92%8C%E4%BC%9A%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E6%B5%9C%EF%A8%91&f=user
浜﨑　崇,party_search,medium,"""自民誠和会"" メンバー 浜﨑　崇",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E8%AA%A0%E5%92%8C%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%B5%9C%EF%A8%91%E3%80%80%E5%B4%87&f=user
浜﨑　崇,election_search,low,浜﨑　崇 当選 瑞穂町,https://x.com/search?q=%E6%B5%9C%EF%A8%91%E3%80%80%E5%B4%87%20%E5%BD%93%E9%81%B8%20%E7%91%9E%E7%A9%82%E7%94%BA&f=user
浜﨑　崇,election_search,low,#瑞穂町選挙 浜﨑　崇,https://x.com/search?q=%23%E7%91%9E%E7%A9%82%E7%94%BA%E9%81%B8%E6%8C%99%20%E6%B5%9C%EF%A8%91%E3%80%80%E5%B4%87&f=user
浜﨑　崇,election_search,low,浜﨑　崇 選挙ポスター,https://x.com/search?q=%E6%B5%9C%EF%A8%91%E3%80%80%E5%B4%87%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
川島　靖弘,direct_search,high,"""川島　靖弘"" 町議 -RT",https://x.com/search?q=%22%E5%B7%9D%E5%B3%B6%E3%80%80%E9%9D%96%E5%BC%98%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
川島　靖弘,direct_search,high,"""川島　靖弘"" 瑞穂町 議員",https://x.com/search?q=%22%E5%B7%9D%E5%B3%B6%E3%80%80%E9%9D%96%E5%BC%98%22%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
川島　靖弘,direct_search,high,川島靖弘 プロフィール 町議,https://x.com/search?q=%E5%B7%9D%E5%B3%B6%E9%9D%96%E5%BC%98%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
川島　靖弘,party_search,medium,立憲民主党 瑞穂町 川島,https://x.com/search?q=%E7%AB%8B%E6%86%B2%E6%B0%91%E4%B8%BB%E5%85%9A%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E5%B7%9D%E5%B3%B6&f=user
川島　靖弘,party_search,medium,"""立憲民主党"" メンバー 川島　靖弘",https://x.com/search?q=%22%E7%AB%8B%E6%86%B2%E6%B0%91%E4%B8%BB%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%B7%9D%E5%B3%B6%E3%80%80%E9%9D%96%E5%BC%98&f=user
川島　靖弘,election_search,low,川島　靖弘 当選 瑞穂町,https://x.com/search?q=%E5%B7%9D%E5%B3%B6%E3%80%80%E9%9D%96%E5%BC%98%20%E5%BD%93%E9%81%B8%20%E7%91%9E%E7%A9%82%E7%94%BA&f=user
川島　靖弘,election_search,low,#瑞穂町選挙 川島　靖弘,https://x.com/search?q=%23%E7%91%9E%E7%A9%82%E7%94%BA%E9%81%B8%E6%8C%99%20%E5%B7%9D%E5%B3%B6%E3%80%80%E9%9D%96%E5%BC%98&f=user
川島　靖弘,election_search,low,川島　靖弘 選挙ポスター,https://x.com/search?q=%E5%B7%9D%E5%B3%B6%E3%80%80%E9%9D%96%E5%BC%98%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
髙橋　洋子,direct_search,high,"""髙橋　洋子"" 町議 -RT",https://x.com/search?q=%22%E9%AB%99%E6%A9%8B%E3%80%80%E6%B4%8B%E5%AD%90%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
髙橋　洋子,direct_search,high,"""髙橋　洋子"" 瑞穂町 議員",https://x.com/search?q=%22%E9%AB%99%E6%A9%8B%E3%80%80%E6%B4%8B%E5%AD%90%22%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
髙橋　洋子,direct_search,high,髙橋洋子 プロフィール 町議,https://x.com/search?q=%E9%AB%99%E6%A9%8B%E6%B4%8B%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
髙橋　洋子,party_search,medium,自民誠和会 瑞穂町 髙橋,https://x.com/search?q=%E8%87%AA%E6%B0%91%E8%AA%A0%E5%92%8C%E4%BC%9A%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E9%AB%99%E6%A9%8B&f=user
髙橋　洋子,party_search,medium,"""自民誠和会"" メンバー 髙橋　洋子",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E8%AA%A0%E5%92%8C%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E9%AB%99%E6%A9%8B%E3%80%80%E6%B4%8B%E5%AD%90&f=user
髙橋　洋子,election_search,low,髙橋　洋子 当選 瑞穂町,https://x.com/search?q=%E9%AB%99%E6%A9%8B%E3%80%80%E6%B4%8B%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E7%91%9E%E7%A9%82%E7%94%BA&f=user
髙橋　洋子,election_search,low,#瑞穂町選挙 髙橋　洋子,https://x.com/search?q=%23%E7%91%9E%E7%A9%82%E7%94%BA%E9%81%B8%E6%8C%99%20%E9%AB%99%E6%A9%8B%E3%80%80%E6%B4%8B%E5%AD%90&f=user
髙橋　洋子,election_search,low,髙橋　洋子 選挙ポスター,https://x.com/search?q=%E9%AB%99%E6%A9%8B%E3%80%80%E6%B4%8B%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
奥泉　淳広,direct_search,high,"""奥泉　淳広"" 町議 -RT",https://x.com/search?q=%22%E5%A5%A5%E6%B3%89%E3%80%80%E6%B7%B3%E5%BA%83%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
奥泉　淳広,direct_search,high,"""奥泉　淳広"" 瑞穂町 議員",https://x.com/search?q=%22%E5%A5%A5%E6%B3%89%E3%80%80%E6%B7%B3%E5%BA%83%22%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
奥泉　淳広,direct_search,high,奥泉淳広 プロフィール 町議,https://x.com/search?q=%E5%A5%A5%E6%B3%89%E6%B7%B3%E5%BA%83%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
奥泉　淳広,party_search,medium,再生の会 瑞穂町 奥泉,https://x.com/search?q=%E5%86%8D%E7%94%9F%E3%81%AE%E4%BC%9A%20%E7%91%9E%E7%A9%82%E7%94%BA%20%E5%A5%A5%E6%B3%89&f=user
奥泉　淳広,party_search,medium,"""再生の会"" メンバー 奥泉　淳広",https://x.com/search?q=%22%E5%86%8D%E7%94%9F%E3%81%AE%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%A5%A5%E6%B3%89%E3%80%80%E6%B7%B3%E5%BA%83&f=user
奥泉　淳広,election_search,low,奥泉　淳広 当選 瑞穂町,https://x.com/search?q=%E5%A5%A5%E6%B3%89%E3%80%80%E6%B7%B3%E5%BA%83%20%E5%BD%93%E9%81%B8%20%E7%91%9E%E7%A9%82%E7%94%BA&f=user
奥泉　淳広,election_search,low,#瑞穂町選挙 奥泉　淳広,https://x.com/search?q=%23%E7%91%9E%E7%A9%82%E7%94%BA%E9%81%B8%E6%8C%99%20%E5%A5%A5%E6%B3%89%E3%80%80%E6%B7%B3%E5%BA%83&f=user
奥泉　淳広,election_search,low,奥泉　淳広 選挙ポスター,https://x.com/search?q=%E5%A5%A5%E6%B3%89%E3%80%80%E6%B7%B3%E5%BA%83%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
