member_name,strategy_type,priority,query,url
野崎　智経,direct_search,high,"""野崎　智経"" 町議 -RT",https://x.com/search?q=%22%E9%87%8E%E5%B4%8E%E3%80%80%E6%99%BA%E7%B5%8C%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
野崎　智経,direct_search,high,"""野崎　智経"" 日の出町 議員",https://x.com/search?q=%22%E9%87%8E%E5%B4%8E%E3%80%80%E6%99%BA%E7%B5%8C%22%20%E6%97%A5%E3%81%AE%E5%87%BA%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
野崎　智経,direct_search,high,野崎智経 プロフィール 町議,https://x.com/search?q=%E9%87%8E%E5%B4%8E%E6%99%BA%E7%B5%8C%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
野崎　智経,party_search,medium,自民蒼政クラブ 日の出町 野崎,https://x.com/search?q=%E8%87%AA%E6%B0%91%E8%92%BC%E6%94%BF%E3%82%AF%E3%83%A9%E3%83%96%20%E6%97%A5%E3%81%AE%E5%87%BA%E7%94%BA%20%E9%87%8E%E5%B4%8E&f=user
野崎　智経,party_search,medium,"""自民蒼政クラブ"" メンバー 野崎　智経",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E8%92%BC%E6%94%BF%E3%82%AF%E3%83%A9%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E9%87%8E%E5%B4%8E%E3%80%80%E6%99%BA%E7%B5%8C&f=user
野崎　智経,election_search,low,野崎　智経 当選 日の出町,https://x.com/search?q=%E9%87%8E%E5%B4%8E%E3%80%80%E6%99%BA%E7%B5%8C%20%E5%BD%93%E9%81%B8%20%E6%97%A5%E3%81%AE%E5%87%BA%E7%94%BA&f=user
野崎　智経,election_search,low,#日の出町選挙 野崎　智経,https://x.com/search?q=%23%E6%97%A5%E3%81%AE%E5%87%BA%E7%94%BA%E9%81%B8%E6%8C%99%20%E9%87%8E%E5%B4%8E%E3%80%80%E6%99%BA%E7%B5%8C&f=user
野崎　智経,election_search,low,野崎　智経 選挙ポスター,https://x.com/search?q=%E9%87%8E%E5%B4%8E%E3%80%80%E6%99%BA%E7%B5%8C%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
玉井　大,direct_search,high,"""玉井　大"" 町議 -RT",https://x.com/search?q=%22%E7%8E%89%E4%BA%95%E3%80%80%E5%A4%A7%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
玉井　大,direct_search,high,"""玉井　大"" 日の出町 議員",https://x.com/search?q=%22%E7%8E%89%E4%BA%95%E3%80%80%E5%A4%A7%22%20%E6%97%A5%E3%81%AE%E5%87%BA%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
玉井　大,direct_search,high,玉井大 プロフィール 町議,https://x.com/search?q=%E7%8E%89%E4%BA%95%E5%A4%A7%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
玉井　大,party_search,medium,自民蒼政クラブ 日の出町 玉井,https://x.com/search?q=%E8%87%AA%E6%B0%91%E8%92%BC%E6%94%BF%E3%82%AF%E3%83%A9%E3%83%96%20%E6%97%A5%E3%81%AE%E5%87%BA%E7%94%BA%20%E7%8E%89%E4%BA%95&f=user
玉井　大,party_search,medium,"""自民蒼政クラブ"" メンバー 玉井　大",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E8%92%BC%E6%94%BF%E3%82%AF%E3%83%A9%E3%83%96%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E7%8E%89%E4%BA%95%E3%80%80%E5%A4%A7&f=user
