member_name,strategy_type,priority,query,url
榎戸雄一,direct_search,high,"""榎戸雄一"" 町議 -RT",https://x.com/search?q=%22%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
榎戸雄一,direct_search,high,"""榎戸雄一"" 奥多摩町 議員",https://x.com/search?q=%22%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80%22%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
榎戸雄一,direct_search,high,榎戸雄一 プロフィール 町議,https://x.com/search?q=%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
榎戸雄一,party_search,medium,自民党清新会 奥多摩町 榎戸,https://x.com/search?q=%E8%87%AA%E6%B0%91%E5%85%9A%E6%B8%85%E6%96%B0%E4%BC%9A%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E6%A6%8E%E6%88%B8&f=user
榎戸雄一,party_search,medium,"""自民党清新会"" メンバー 榎戸雄一",https://x.com/search?q=%22%E8%87%AA%E6%B0%91%E5%85%9A%E6%B8%85%E6%96%B0%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80&f=user
榎戸雄一,election_search,low,榎戸雄一 当選 奥多摩町,https://x.com/search?q=%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80%20%E5%BD%93%E9%81%B8%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA&f=user
榎戸雄一,election_search,low,#奥多摩町選挙 榎戸雄一,https://x.com/search?q=%23%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%E9%81%B8%E6%8C%99%20%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80&f=user
榎戸雄一,election_search,low,榎戸雄一 選挙ポスター,https://x.com/search?q=%E6%A6%8E%E6%88%B8%E9%9B%84%E4%B8%80%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
伊藤英人,direct_search,high,"""伊藤英人"" 町議 -RT",https://x.com/search?q=%22%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
伊藤英人,direct_search,high,"""伊藤英人"" 奥多摩町 議員",https://x.com/search?q=%22%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA%22%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
伊藤英人,direct_search,high,伊藤英人 プロフィール 町議,https://x.com/search?q=%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
伊藤英人,party_search,medium,どんぐり 奥多摩町 伊藤,https://x.com/search?q=%E3%81%A9%E3%82%93%E3%81%90%E3%82%8A%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E4%BC%8A%E8%97%A4&f=user
伊藤英人,party_search,medium,"""どんぐり"" メンバー 伊藤英人",https://x.com/search?q=%22%E3%81%A9%E3%82%93%E3%81%90%E3%82%8A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA&f=user
伊藤英人,election_search,low,伊藤英人 当選 奥多摩町,https://x.com/search?q=%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA%20%E5%BD%93%E9%81%B8%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA&f=user
伊藤英人,election_search,low,#奥多摩町選挙 伊藤英人,https://x.com/search?q=%23%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%E9%81%B8%E6%8C%99%20%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA&f=user
伊藤英人,election_search,low,伊藤英人 選挙ポスター,https://x.com/search?q=%E4%BC%8A%E8%97%A4%E8%8B%B1%E4%BA%BA%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
森田紀子,direct_search,high,"""森田紀子"" 町議 -RT",https://x.com/search?q=%22%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
森田紀子,direct_search,high,"""森田紀子"" 奥多摩町 議員",https://x.com/search?q=%22%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90%22%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
森田紀子,direct_search,high,森田紀子 プロフィール 町議,https://x.com/search?q=%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
森田紀子,party_search,medium,宇宙会 奥多摩町 森田,https://x.com/search?q=%E5%AE%87%E5%AE%99%E4%BC%9A%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E6%A3%AE%E7%94%B0&f=user
森田紀子,party_search,medium,"""宇宙会"" メンバー 森田紀子",https://x.com/search?q=%22%E5%AE%87%E5%AE%99%E4%BC%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90&f=user
森田紀子,election_search,low,森田紀子 当選 奥多摩町,https://x.com/search?q=%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA&f=user
森田紀子,election_search,low,#奥多摩町選挙 森田紀子,https://x.com/search?q=%23%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%E9%81%B8%E6%8C%99%20%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90&f=user
森田紀子,election_search,low,森田紀子 選挙ポスター,https://x.com/search?q=%E6%A3%AE%E7%94%B0%E7%B4%80%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
相田恵美子,direct_search,high,"""相田恵美子"" 町議 -RT",https://x.com/search?q=%22%E7%9B%B8%E7%94%B0%E6%81%B5%E7%BE%8E%E5%AD%90%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
相田恵美子,direct_search,high,"""相田恵美子"" 奥多摩町 議員",https://x.com/search?q=%22%E7%9B%B8%E7%94%B0%E6%81%B5%E7%BE%8E%E5%AD%90%22%20%E5%A5%A5%E5%A4%9A%E6%91%A9%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
相田恵美子,direct_search,high,相田恵美子 プロフィール 町議,https://x.com/search?q=%E7%9B%B8%E7%94%B0%E6%81%B5%E7%BE%8E%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
