member_name,strategy_type,priority,query,url
中林一巳,direct_search,high,"""中林一巳"" 町議 -RT",https://x.com/search?q=%22%E4%B8%AD%E6%9E%97%E4%B8%80%E5%B7%B3%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
中林一巳,direct_search,high,"""中林一巳"" 大島町 議員",https://x.com/search?q=%22%E4%B8%AD%E6%9E%97%E4%B8%80%E5%B7%B3%22%20%E5%A4%A7%E5%B3%B6%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
中林一巳,direct_search,high,中林一巳 プロフィール 町議,https://x.com/search?q=%E4%B8%AD%E6%9E%97%E4%B8%80%E5%B7%B3%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
中林一巳,election_search,low,中林一巳 当選 大島町,https://x.com/search?q=%E4%B8%AD%E6%9E%97%E4%B8%80%E5%B7%B3%20%E5%BD%93%E9%81%B8%20%E5%A4%A7%E5%B3%B6%E7%94%BA&f=user
中林一巳,election_search,low,#大島町選挙 中林一巳,https://x.com/search?q=%23%E5%A4%A7%E5%B3%B6%E7%94%BA%E9%81%B8%E6%8C%99%20%E4%B8%AD%E6%9E%97%E4%B8%80%E5%B7%B3&f=user
中林一巳,election_search,low,中林一巳 選挙ポスター,https://x.com/search?q=%E4%B8%AD%E6%9E%97%E4%B8%80%E5%B7%B3%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
白澤治,direct_search,high,"""白澤治"" 町議 -RT",https://x.com/search?q=%22%E7%99%BD%E6%BE%A4%E6%B2%BB%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
白澤治,direct_search,high,"""白澤治"" 大島町 議員",https://x.com/search?q=%22%E7%99%BD%E6%BE%A4%E6%B2%BB%22%20%E5%A4%A7%E5%B3%B6%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
白澤治,direct_search,high,白澤治 プロフィール 町議,https://x.com/search?q=%E7%99%BD%E6%BE%A4%E6%B2%BB%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
白澤治,election_search,low,白澤治 当選 大島町,https://x.com/search?q=%E7%99%BD%E6%BE%A4%E6%B2%BB%20%E5%BD%93%E9%81%B8%20%E5%A4%A7%E5%B3%B6%E7%94%BA&f=user
