member_name,strategy_type,priority,query,url
富田浩章,direct_search,high,"""富田浩章"" 村議 -RT",https://x.com/search?q=%22%E5%AF%8C%E7%94%B0%E6%B5%A9%E7%AB%A0%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
富田浩章,direct_search,high,"""富田浩章"" 新島村 議員",https://x.com/search?q=%22%E5%AF%8C%E7%94%B0%E6%B5%A9%E7%AB%A0%22%20%E6%96%B0%E5%B3%B6%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
富田浩章,direct_search,high,富田浩章 プロフィール 村議,https://x.com/search?q=%E5%AF%8C%E7%94%B0%E6%B5%A9%E7%AB%A0%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E6%9D%91%E8%AD%B0&f=user
富田浩章,election_search,low,富田浩章 当選 新島村,https://x.com/search?q=%E5%AF%8C%E7%94%B0%E6%B5%A9%E7%AB%A0%20%E5%BD%93%E9%81%B8%20%E6%96%B0%E5%B3%B6%E6%9D%91&f=user
富田浩章,election_search,low,#新島村選挙 富田浩章,https://x.com/search?q=%23%E6%96%B0%E5%B3%B6%E6%9D%91%E9%81%B8%E6%8C%99%20%E5%AF%8C%E7%94%B0%E6%B5%A9%E7%AB%A0&f=user
富田浩章,election_search,low,富田浩章 選挙ポスター,https://x.com/search?q=%E5%AF%8C%E7%94%B0%E6%B5%A9%E7%AB%A0%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
吉見一之,direct_search,high,"""吉見一之"" 村議 -RT",https://x.com/search?q=%22%E5%90%89%E8%A6%8B%E4%B8%80%E4%B9%8B%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
吉見一之,direct_search,high,"""吉見一之"" 新島村 議員",https://x.com/search?q=%22%E5%90%89%E8%A6%8B%E4%B8%80%E4%B9%8B%22%20%E6%96%B0%E5%B3%B6%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
吉見一之,direct_search,high,吉見一之 プロフィール 村議,https://x.com/search?q=%E5%90%89%E8%A6%8B%E4%B8%80%E4%B9%8B%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E6%9D%91%E8%AD%B0&f=user
吉見一之,election_search,low,吉見一之 当選 新島村,https://x.com/search?q=%E5%90%89%E8%A6%8B%E4%B8%80%E4%B9%8B%20%E5%BD%93%E9%81%B8%20%E6%96%B0%E5%B3%B6%E6%9D%91&f=user
吉見一之,election_search,low,#新島村選挙 吉見一之,https://x.com/search?q=%23%E6%96%B0%E5%B3%B6%E6%9D%91%E9%81%B8%E6%8C%99%20%E5%90%89%E8%A6%8B%E4%B8%80%E4%B9%8B&f=user
吉見一之,election_search,low,吉見一之 選挙ポスター,https://x.com/search?q=%E5%90%89%E8%A6%8B%E4%B8%80%E4%B9%8B%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
前田勝利,direct_search,high,"""前田勝利"" 村議 -RT",https://x.com/search?q=%22%E5%89%8D%E7%94%B0%E5%8B%9D%E5%88%A9%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
前田勝利,direct_search,high,"""前田勝利"" 新島村 議員",https://x.com/search?q=%22%E5%89%8D%E7%94%B0%E5%8B%9D%E5%88%A9%22%20%E6%96%B0%E5%B3%B6%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
