member_name,strategy_type,priority,query,url
小林　正吾郎,direct_search,high,"""小林　正吾郎"" 村議 -RT",https://x.com/search?q=%22%E5%B0%8F%E6%9E%97%E3%80%80%E6%AD%A3%E5%90%BE%E9%83%8E%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
小林　正吾郎,direct_search,high,"""小林　正吾郎"" 神津島村 議員",https://x.com/search?q=%22%E5%B0%8F%E6%9E%97%E3%80%80%E6%AD%A3%E5%90%BE%E9%83%8E%22%20%E7%A5%9E%E6%B4%A5%E5%B3%B6%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
小林　正吾郎,direct_search,high,小林正吾郎 プロフィール 村議,https://x.com/search?q=%E5%B0%8F%E6%9E%97%E6%AD%A3%E5%90%BE%E9%83%8E%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E6%9D%91%E8%AD%B0&f=user
小林　正吾郎,election_search,low,小林　正吾郎 当選 神津島村,https://x.com/search?q=%E5%B0%8F%E6%9E%97%E3%80%80%E6%AD%A3%E5%90%BE%E9%83%8E%20%E5%BD%93%E9%81%B8%20%E7%A5%9E%E6%B4%A5%E5%B3%B6%E6%9D%91&f=user
小林　正吾郎,election_search,low,#神津島村選挙 小林　正吾郎,https://x.com/search?q=%23%E7%A5%9E%E6%B4%A5%E5%B3%B6%E6%9D%91%E9%81%B8%E6%8C%99%20%E5%B0%8F%E6%9E%97%E3%80%80%E6%AD%A3%E5%90%BE%E9%83%8E&f=user
小林　正吾郎,election_search,low,小林　正吾郎 選挙ポスター,https://x.com/search?q=%E5%B0%8F%E6%9E%97%E3%80%80%E6%AD%A3%E5%90%BE%E9%83%8E%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
関　真樹,direct_search,high,"""関　真樹"" 村議 -RT",https://x.com/search?q=%22%E9%96%A2%E3%80%80%E7%9C%9F%E6%A8%B9%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
関　真樹,direct_search,high,"""関　真樹"" 神津島村 議員",https://x.com/search?q=%22%E9%96%A2%E3%80%80%E7%9C%9F%E6%A8%B9%22%20%E7%A5%9E%E6%B4%A5%E5%B3%B6%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
関　真樹,direct_search,high,関真樹 プロフィール 村議,https://x.com/search?q=%E9%96%A2%E7%9C%9F%E6%A8%B9%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E6%9D%91%E8%AD%B0&f=user
関　真樹,election_search,low,関　真樹 当選 神津島村,https://x.com/search?q=%E9%96%A2%E3%80%80%E7%9C%9F%E6%A8%B9%20%E5%BD%93%E9%81%B8%20%E7%A5%9E%E6%B4%A5%E5%B3%B6%E6%9D%91&f=user
