member_name,strategy_type,priority,query,url
北川　博史,direct_search,high,"""北川　博史"" 村議 -RT",https://x.com/search?q=%22%E5%8C%97%E5%B7%9D%E3%80%80%E5%8D%9A%E5%8F%B2%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
北川　博史,direct_search,high,"""北川　博史"" 三宅村 議員",https://x.com/search?q=%22%E5%8C%97%E5%B7%9D%E3%80%80%E5%8D%9A%E5%8F%B2%22%20%E4%B8%89%E5%AE%85%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
北川　博史,direct_search,high,北川博史 プロフィール 村議,https://x.com/search?q=%E5%8C%97%E5%B7%9D%E5%8D%9A%E5%8F%B2%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E6%9D%91%E8%AD%B0&f=user
北川　博史,election_search,low,北川　博史 当選 三宅村,https://x.com/search?q=%E5%8C%97%E5%B7%9D%E3%80%80%E5%8D%9A%E5%8F%B2%20%E5%BD%93%E9%81%B8%20%E4%B8%89%E5%AE%85%E6%9D%91&f=user
北川　博史,election_search,low,#三宅村選挙 北川　博史,https://x.com/search?q=%23%E4%B8%89%E5%AE%85%E6%9D%91%E9%81%B8%E6%8C%99%20%E5%8C%97%E5%B7%9D%E3%80%80%E5%8D%9A%E5%8F%B2&f=user
北川　博史,election_search,low,北川　博史 選挙ポスター,https://x.com/search?q=%E5%8C%97%E5%B7%9D%E3%80%80%E5%8D%9A%E5%8F%B2%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
髙松　秀直,direct_search,high,"""髙松　秀直"" 村議 -RT",https://x.com/search?q=%22%E9%AB%99%E6%9D%BE%E3%80%80%E7%A7%80%E7%9B%B4%22%20%E6%9D%91%E8%AD%B0%20-RT&f=user
髙松　秀直,direct_search,high,"""髙松　秀直"" 三宅村 議員",https://x.com/search?q=%22%E9%AB%99%E6%9D%BE%E3%80%80%E7%A7%80%E7%9B%B4%22%20%E4%B8%89%E5%AE%85%E6%9D%91%20%E8%AD%B0%E5%93%A1&f=user
髙松　秀直,direct_search,high,髙松秀直 プロフィール 村議,https://x.com/search?q=%E9%AB%99%E6%9D%BE%E7%A7%80%E7%9B%B4%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E6%9D%91%E8%AD%B0&f=user
髙松　秀直,election_search,low,髙松　秀直 当選 三宅村,https://x.com/search?q=%E9%AB%99%E6%9D%BE%E3%80%80%E7%A7%80%E7%9B%B4%20%E5%BD%93%E9%81%B8%20%E4%B8%89%E5%AE%85%E6%9D%91&f=user
