member_name,strategy_type,priority,query,url
奥山幸子,direct_search,high,"""奥山幸子"" 町議 -RT",https://x.com/search?q=%22%E5%A5%A5%E5%B1%B1%E5%B9%B8%E5%AD%90%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
奥山幸子,direct_search,high,"""奥山幸子"" 八丈町 議員",https://x.com/search?q=%22%E5%A5%A5%E5%B1%B1%E5%B9%B8%E5%AD%90%22%20%E5%85%AB%E4%B8%88%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
奥山幸子,direct_search,high,奥山幸子 プロフィール 町議,https://x.com/search?q=%E5%A5%A5%E5%B1%B1%E5%B9%B8%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
奥山幸子,election_search,low,奥山幸子 当選 八丈町,https://x.com/search?q=%E5%A5%A5%E5%B1%B1%E5%B9%B8%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E5%85%AB%E4%B8%88%E7%94%BA&f=user
奥山幸子,election_search,low,#八丈町選挙 奥山幸子,https://x.com/search?q=%23%E5%85%AB%E4%B8%88%E7%94%BA%E9%81%B8%E6%8C%99%20%E5%A5%A5%E5%B1%B1%E5%B9%B8%E5%AD%90&f=user
奥山幸子,election_search,low,奥山幸子 選挙ポスター,https://x.com/search?q=%E5%A5%A5%E5%B1%B1%E5%B9%B8%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
浅沼清孝,direct_search,high,"""浅沼清孝"" 町議 -RT",https://x.com/search?q=%22%E6%B5%85%E6%B2%BC%E6%B8%85%E5%AD%9D%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
浅沼清孝,direct_search,high,"""浅沼清孝"" 八丈町 議員",https://x.com/search?q=%22%E6%B5%85%E6%B2%BC%E6%B8%85%E5%AD%9D%22%20%E5%85%AB%E4%B8%88%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
浅沼清孝,direct_search,high,浅沼清孝 プロフィール 町議,https://x.com/search?q=%E6%B5%85%E6%B2%BC%E6%B8%85%E5%AD%9D%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
浅沼清孝,election_search,low,浅沼清孝 当選 八丈町,https://x.com/search?q=%E6%B5%85%E6%B2%BC%E6%B8%85%E5%AD%9D%20%E5%BD%93%E9%81%B8%20%E5%85%AB%E4%B8%88%E7%94%BA&f=user
浅沼清孝,election_search,low,#八丈町選挙 浅沼清孝,https://x.com/search?q=%23%E5%85%AB%E4%B8%88%E7%94%BA%E9%81%B8%E6%8C%99%20%E6%B5%85%E6%B2%BC%E6%B8%85%E5%AD%9D&f=user
浅沼清孝,election_search,low,浅沼清孝 選挙ポスター,https://x.com/search?q=%E6%B5%85%E6%B2%BC%E6%B8%85%E5%AD%9D%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
山下則子,direct_search,high,"""山下則子"" 町議 -RT",https://x.com/search?q=%22%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
山下則子,direct_search,high,"""山下則子"" 八丈町 議員",https://x.com/search?q=%22%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90%22%20%E5%85%AB%E4%B8%88%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
山下則子,direct_search,high,山下則子 プロフィール 町議,https://x.com/search?q=%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
山下則子,party_search,medium,公明党 八丈町 山下,https://x.com/search?q=%E5%85%AC%E6%98%8E%E5%85%9A%20%E5%85%AB%E4%B8%88%E7%94%BA%20%E5%B1%B1%E4%B8%8B&f=user
山下則子,party_search,medium,"""公明党"" メンバー 山下則子",https://x.com/search?q=%22%E5%85%AC%E6%98%8E%E5%85%9A%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90&f=user
山下則子,election_search,low,山下則子 当選 八丈町,https://x.com/search?q=%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90%20%E5%BD%93%E9%81%B8%20%E5%85%AB%E4%B8%88%E7%94%BA&f=user
山下則子,election_search,low,#八丈町選挙 山下則子,https://x.com/search?q=%23%E5%85%AB%E4%B8%88%E7%94%BA%E9%81%B8%E6%8C%99%20%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90&f=user
山下則子,election_search,low,山下則子 選挙ポスター,https://x.com/search?q=%E5%B1%B1%E4%B8%8B%E5%89%87%E5%AD%90%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
金川孝幸,direct_search,high,"""金川孝幸"" 町議 -RT",https://x.com/search?q=%22%E9%87%91%E5%B7%9D%E5%AD%9D%E5%B9%B8%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
金川孝幸,direct_search,high,"""金川孝幸"" 八丈町 議員",https://x.com/search?q=%22%E9%87%91%E5%B7%9D%E5%AD%9D%E5%B9%B8%22%20%E5%85%AB%E4%B8%88%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
金川孝幸,direct_search,high,金川孝幸 プロフィール 町議,https://x.com/search?q=%E9%87%91%E5%B7%9D%E5%AD%9D%E5%B9%B8%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
金川孝幸,election_search,low,金川孝幸 当選 八丈町,https://x.com/search?q=%E9%87%91%E5%B7%9D%E5%AD%9D%E5%B9%B8%20%E5%BD%93%E9%81%B8%20%E5%85%AB%E4%B8%88%E7%94%BA&f=user
金川孝幸,election_search,low,#八丈町選挙 金川孝幸,https://x.com/search?q=%23%E5%85%AB%E4%B8%88%E7%94%BA%E9%81%B8%E6%8C%99%20%E9%87%91%E5%B7%9D%E5%AD%9D%E5%B9%B8&f=user
金川孝幸,election_search,low,金川孝幸 選挙ポスター,https://x.com/search?q=%E9%87%91%E5%B7%9D%E5%AD%9D%E5%B9%B8%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
沖山昇,direct_search,high,"""沖山昇"" 町議 -RT",https://x.com/search?q=%22%E6%B2%96%E5%B1%B1%E6%98%87%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
沖山昇,direct_search,high,"""沖山昇"" 八丈町 議員",https://x.com/search?q=%22%E6%B2%96%E5%B1%B1%E6%98%87%22%20%E5%85%AB%E4%B8%88%E7%94%BA%20%E8%AD%B0%E5%93%A1&f=user
沖山昇,direct_search,high,沖山昇 プロフィール 町議,https://x.com/search?q=%E6%B2%96%E5%B1%B1%E6%98%87%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E7%94%BA%E8%AD%B0&f=user
沖山昇,election_search,low,沖山昇 当選 八丈町,https://x.com/search?q=%E6%B2%96%E5%B1%B1%E6%98%87%20%E5%BD%93%E9%81%B8%20%E5%85%AB%E4%B8%88%E7%94%BA&f=user
沖山昇,election_search,low,#八丈町選挙 沖山昇,https://x.com/search?q=%23%E5%85%AB%E4%B8%88%E7%94%BA%E9%81%B8%E6%8C%99%20%E6%B2%96%E5%B1%B1%E6%98%87&f=user
沖山昇,election_search,low,沖山昇 選挙ポスター,https://x.com/search?q=%E6%B2%96%E5%B1%B1%E6%98%87%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
山下巧,direct_search,high,"""山下巧"" 町議 -RT",https://x.com/search?q=%22%E5%B1%B1%E4%B8%8B%E5%B7%A7%22%20%E7%94%BA%E8%AD%B0%20-RT&f=user
